record_id,entry_no,rec_id,Created,horse,trainer,horse_display (from horses),horses,source,rider,riders,rider_display (from riders),trainers,trainer_display (from trainers),barn_name,entry_go_times,wec-alerts,class_oog,class_oog_staging,get_orders,get_rings,class_results,get_rings 2,get_orders 2,wec_entry_comments,wec_class_comments,wec_comment_presets,wec_question_templates,wec_sessions,wec_comments,wec_ring_checkins,waze_users,wec_observations,wec_ring_comments
rec01fcLz3gBaOuCk,2961,rec01fcLz3gBaOuCk,2026-06-09T23:09:50.000Z,Evolene De Carles,Vicente Guillen,[null],"[""recGcKkdCOho6Pt6R""]",class_oog,Vicente Guillen,"[""recvGTTxZSbHtC8Ym""]","[""Vicente""]","[""recCbBJMoJvofncZW""]",,,,,,,,,,,,,,,,,,,,,
rec04G5QautLKroO5,2535,rec04G5QautLKroO5,2026-06-11T11:39:21.000Z,Lucky Lakota,Wendy J. Hechler,[null],"[""rec89MeFFkOvodxoK""]",class_oog,Guiliana Itzo,"[""recgvL9zCVq8cPEyZ""]","[""Guiliana""]","[""rec1I0IvFKaYQa6K4""]",,,,,,,,,,,,,,,,,,,,,
rec04HzASvmudMtfF,3632,rec04HzASvmudMtfF,2026-07-01T14:15:36.000Z,Valika,,,,get_rings.php,,,,,,,,,,,,,,,,,,,,,,,,,
rec04dA4WFyLCjXNw,1675,rec04dA4WFyLCjXNw,2026-06-11T11:39:24.000Z,L.v. Valdrumer,Juan A. Rodriguez Silva,[null],"[""recLj5EaBtHWkjsa2""]",class_oog,Nicole Presa Tejada,"[""rechqgzesv0gfUZwq""]","[""Nicole""]","[""reclu4ZfxeCUoDgLA""]",,,,,,,,,,,,,,,,,,,,,
rec05KksmIMbP4zEb,3099,rec05KksmIMbP4zEb,2026-06-11T11:39:25.000Z,Cartoon Sd Z,Alan Korotkin,"[""Cartoon""]","[""recKk2sgwiW0v70cR""]",class_oog.php,Tanner Korotkin,"[""rececJFgkUViuuW0F""]","[""Tanner""]","[""recFIHTcArQhILyAc""]","[""CWF""]","[""Cartoon""]","[""recIq4wolRpvMPZqi"",""recKxLRsV3heSMRSs""]","[""recF3ZYRgyz1b0fZM"",""recxjnggUhOjkWhJB""]","[""recBzaGh0vNdOFJ1I"",""reckHrI3AFsslsR6s"",""recnTChWBVv7nDghc""]","[""recGktQyKGZgPdEEE"",""recLm4bIWsCwKtsOn""]",,,,,,,,,,,,,,,
rec07FCmE0osOA0Z0,2128,rec07FCmE0osOA0Z0,2026-06-11T11:39:23.000Z,Changes In Latitude,Maisie Wagner,[null],"[""recUOPrPt8hqx9T2P""]",class_oog.php,Clara Sipple,"[""rectCb1wW269hD03a""]","[""Clara""]","[""recWddmd29X3mTMwN""]",,,,,,,,,,,,,,,,,,,,,
rec07T9tJS4DHWlU0,1466,rec07T9tJS4DHWlU0,2026-06-11T11:39:24.000Z,Odaya,Mario Garcia,[null],"[""recXgFBKZ5FRbXDxP""]",class_oog,Anna Mazor-Allhusen,"[""recweHlv4BRsQoksS""]","[""Anna""]","[""recgLDs1PX5pujyno""]",,,,,,,,,,,,,,,,,,,,,
rec08Bcdiirsd0shr,1075,rec08Bcdiirsd0shr,2026-06-09T23:09:50.000Z,Chris B,Benjamin J. Meredith,[null],"[""recsB7WBTOhoiZ7Fm""]",class_oog,Miley Davidyan,"[""reclZp0eQIJMvkdeG""]","[""Miley""]","[""reccRPUdMRZMCiJuf""]",,,,,,,,,,,,,,,,,,,,,
rec0EKYIlKuo6e2gz,1438,rec0EKYIlKuo6e2gz,2026-06-12T17:24:29.000Z,Comeback Queen,Matthew Le Master,[null],"[""recyASRhw8q4tEAtw""]",class_oog,Mckenzie Badley,"[""recY8qeRhWAe7RPzG""]","[""Mckenzie""]","[""recN9E8BVaEfvKU1x""]",,,,,,,,,,,,,,,,,,,,,
rec0MpaYnNju2ExM0,1457,rec0MpaYnNju2ExM0,2026-06-11T11:39:21.000Z,Kamilla,Wendy J. Hechler,[null],"[""recjgo7hE3earZlS7""]",class_oog,Olivia Planer,"[""rece86WN8FUEah4HY""]","[""Olivia""]","[""rec1I0IvFKaYQa6K4""]",,,,,,,,,,,,,,,,,,,,,
