record_id,show_no,class_name,entry_order,Last Modified,class_no,barn_name (from horses),Last Modified 2,trainer,run_id,focus_day_key,rollup_label,test,ring_day_no,Created,show_focus_key,horse,source_endpoint,class_label,horses,rider,focus_day,ring,ring_no,source_payload,entry_no,class_oog_key,heartbeat_id
rec04ZgLeSeKFJmsq,14909,USHJA National Hunter Derby 3' Jr/Am,2,2026-07-03T19:50:58.000Z,26869,"[""Macho""]",2026-07-03T17:20:47.000Z,Alan Korotkin,wec-step3-20260703T195048375Z,20260703,Macho (2),true,3604,2026-07-03T04:25:41.000Z,14909|20260703,Forte,class_oog.php,USHJA National Hunter Derby 3' Jr/Am,"[""recuAM948OicLWxLT""]",Carsyn Korotkin,2026-07-03,Indoor 1- Sarah Haas,644,"{""raw_key"":""14909|2026-07-03|3604|644|26869"",""order_status"":""Class Ordered By: Custom"",""parsed_row"":{""show_no"":""14909"",""class_no"":""26869"",""entry_order"":2,""current_entry_no"":""1028"",""current_horse"":""Forte"",""rider"":""Carsyn Korotkin"",""trainer"":""Alan Korotkin"",""order_status"":""Class Ordered By: Custom"",""source_endpoint"":""class_oog.php"",""source_html"":""<tr class=\""class_0\"">\n <td>\n 2 </td>\n <td>\n 1028 </td>\n <td>\n Forte </td>\n <td>\n Carsyn Korotkin </td>\n <td>\n Alan Korotkin </td>\n </tr>"",""raw_json"":""{\""class_no\"":\""26869\"",\""entry_no\"":\""1028\"",\""horse\"":\""Forte\"",\""rider\"":\""Carsyn Korotkin\"",\""trainer\"":\""Alan Korotkin\"",\""order_status\"":\""Class Ordered By: Custom\""}""}}",1028,14909|2026-07-03|3604|644|26869|1028,14909|2026-07-03|wec-step3-20260703T195048375Z
rec0k4iEAcpeEyDHd,14909,Golden Ocala Hunter Derby 3'6,6,2026-07-03T19:50:58.000Z,26870,"[""Mark""]",2026-07-03T17:20:47.000Z,Alan Korotkin,wec-step3-20260703T195048375Z,20260703,Mark (6),true,3604,2026-07-03T04:25:32.000Z,14909|20260703,Markanto A,class_oog.php,Golden Ocala Hunter Derby 3'6,"[""recDVF7uAGskLIIS1""]",Carsyn Korotkin,2026-07-03,Indoor 1- Sarah Haas,644,"{""raw_key"":""14909|2026-07-03|3604|644|26870"",""order_status"":""Class Ordered By: Custom"",""parsed_row"":{""show_no"":""14909"",""class_no"":""26870"",""entry_order"":6,""current_entry_no"":""1043"",""current_horse"":""Markanto A"",""rider"":""Carsyn Korotkin"",""trainer"":""Alan Korotkin"",""order_status"":""Class Ordered By: Custom"",""source_endpoint"":""class_oog.php"",""source_html"":""<tr class=\""class_0\"">\n <td>\n 6 </td>\n <td>\n 1043 </td>\n <td>\n Markanto A </td>\n <td>\n Carsyn Korotkin </td>\n <td>\n Alan Korotkin </td>\n </tr>"",""raw_json"":""{\""class_no\"":\""26870\"",\""entry_no\"":\""1043\"",\""horse\"":\""Markanto A\"",\""rider\"":\""Carsyn Korotkin\"",\""trainer\"":\""Alan Korotkin\"",\""order_status\"":\""Class Ordered By: Custom\""}""}}",1043,14909|2026-07-03|3604|644|26870|1043,14909|2026-07-03|wec-step3-20260703T195048375Z
rec3ehKHRtHOhaKDi,14909,Golden Ocala Hunter Derby 3'6,1,2026-07-03T19:50:58.000Z,26870,"[""Macho""]",2026-07-03T17:20:47.000Z,Alan Korotkin,wec-step3-20260703T195048375Z,20260703,Macho (1),true,3604,2026-07-03T04:25:32.000Z,14909|20260703,Forte,class_oog.php,Golden Ocala Hunter Derby 3'6,"[""recuAM948OicLWxLT""]",Carsyn Korotkin,2026-07-03,Indoor 1- Sarah Haas,644,"{""raw_key"":""14909|2026-07-03|3604|644|26870"",""order_status"":""Class Ordered By: Custom"",""parsed_row"":{""show_no"":""14909"",""class_no"":""26870"",""entry_order"":1,""current_entry_no"":""1028"",""current_horse"":""Forte"",""rider"":""Carsyn Korotkin"",""trainer"":""Alan Korotkin"",""order_status"":""Class Ordered By: Custom"",""source_endpoint"":""class_oog.php"",""source_html"":""<tr class=\""class_0\"">\n <td>\n 1 </td>\n <td>\n 1028 </td>\n <td>\n Forte </td>\n <td>\n Carsyn Korotkin </td>\n <td>\n Alan Korotkin </td>\n </tr>"",""raw_json"":""{\""class_no\"":\""26870\"",\""entry_no\"":\""1028\"",\""horse\"":\""Forte\"",\""rider\"":\""Carsyn Korotkin\"",\""trainer\"":\""Alan Korotkin\"",\""order_status\"":\""Class Ordered By: Custom\""}""}}",1028,14909|2026-07-03|3604|644|26870|1028,14909|2026-07-03|wec-step3-20260703T195048375Z
rec3ih4hqqW95JMRI,14909,1.20m Amateur/Junior Jumper II.1,2,2026-07-03T19:50:35.000Z,30647,"[""King""]",2026-07-03T17:20:47.000Z,Alan Korotkin,wec-step3-20260703T195021715Z,20260703,King (2),true,3592,2026-07-03T04:00:29.000Z,14909|20260703,King Z,class_oog.php,1.20m Amateur/Junior Jumper II.1,"[""recqr8YGyalIpRStG""]",Victoria Rotsaert,2026-07-03,Indoor 6 - Brandon Serpico,642,"{""raw_key"":""14909|2026-07-03|3592|642|30647"",""order_status"":""NOT A POSTED ORDER"",""parsed_row"":{""show_no"":""14909"",""class_no"":""30647"",""entry_order"":2,""current_entry_no"":""1039"",""current_horse"":""King Z"",""rider"":""Victoria Rotsaert"",""trainer"":""Alan Korotkin"",""order_status"":""NOT A POSTED ORDER"",""source_endpoint"":""class_oog.php"",""source_html"":""<tr>\n <td>\n 2 </td>\n <td>\n 1039 </td>\n <td>\n King Z </td>\n <td>\n Victoria Rotsaert </td>\n <td>\n Alan Korotkin </td>\n </tr>"",""raw_json"":""{\""class_no\"":\""30647\"",\""entry_no\"":\""1039\"",\""horse\"":\""King Z\"",\""rider\"":\""Victoria Rotsaert\"",\""trainer\"":\""Alan Korotkin\"",\""order_status\"":\""NOT A POSTED ORDER\""}""}}",1039,14909|2026-07-03|3592|642|30647|1039,14909|2026-07-03|wec-step3-20260703T195021715Z
rec5Uybwufl0Li7kF,14909,1.20m Amateur/Junior Jumper II.1,1,2026-07-03T19:50:35.000Z,30647,"[""Dottie""]",2026-07-03T17:20:47.000Z,Alan Korotkin,wec-step3-20260703T195021715Z,20260703,Dottie (1),true,3592,2026-07-03T04:00:29.000Z,14909|20260703,Dodicci,class_oog.php,1.20m Amateur/Junior Jumper II.1,"[""recKtsuwLGpqqjPXe""]",Carsyn Korotkin,2026-07-03,Indoor 6 - Brandon Serpico,642,"{""raw_key"":""14909|2026-07-03|3592|642|30647"",""order_status"":""NOT A POSTED ORDER"",""parsed_row"":{""show_no"":""14909"",""class_no"":""30647"",""entry_order"":1,""current_entry_no"":""1025"",""current_horse"":""Dodicci"",""rider"":""Carsyn Korotkin"",""trainer"":""Alan Korotkin"",""order_status"":""NOT A POSTED ORDER"",""source_endpoint"":""class_oog.php"",""source_html"":""<tr>\n <td>\n 1 </td>\n <td>\n 1025 </td>\n <td>\n Dodicci </td>\n <td>\n Carsyn Korotkin </td>\n <td>\n Alan Korotkin </td>\n </tr>"",""raw_json"":""{\""class_no\"":\""30647\"",\""entry_no\"":\""1025\"",\""horse\"":\""Dodicci\"",\""rider\"":\""Carsyn Korotkin\"",\""trainer\"":\""Alan Korotkin\"",\""order_status\"":\""NOT A POSTED ORDER\""}""}}",1025,14909|2026-07-03|3592|642|30647|1025,14909|2026-07-03|wec-step3-20260703T195021715Z
rec7MUOsAcTfrvPQp,14909,1.10m Junior Jumper II.1,1,2026-07-03T19:50:36.000Z,26800,"[""Rimini""]",2026-07-03T17:20:47.000Z,Alan Korotkin,wec-step3-20260703T195021715Z,20260703,Rimini (1),true,3592,2026-07-03T04:22:38.000Z,14909|20260703,Rimini Du Printemps,class_oog.php,1.10m Junior Jumper II.1,"[""reciBP5IPTFNbjykc""]",Sophie Heap,2026-07-03,Indoor 6 - Brandon Serpico,642,"{""raw_key"":""14909|2026-07-03|3592|642|26800"",""order_status"":""NOT A POSTED ORDER"",""parsed_row"":{""show_no"":""14909"",""class_no"":""26800"",""entry_order"":1,""current_entry_no"":""1046"",""current_horse"":""Rimini Du Printemps"",""rider"":""Sophie Heap"",""trainer"":""Alan Korotkin"",""order_status"":""NOT A POSTED ORDER"",""source_endpoint"":""class_oog.php"",""source_html"":""<tr>\n <td>\n 1 </td>\n <td>\n 1046 </td>\n <td>\n Rimini Du Printemps </td>\n <td>\n Sophie Heap </td>\n <td>\n Alan Korotkin </td>\n </tr>"",""raw_json"":""{\""class_no\"":\""26800\"",\""entry_no\"":\""1046\"",\""horse\"":\""Rimini Du Printemps\"",\""rider\"":\""Sophie Heap\"",\""trainer\"":\""Alan Korotkin\"",\""order_status\"":\""NOT A POSTED ORDER\""}""}}",1046,14909|2026-07-03|3592|642|26800|1046,14909|2026-07-03|wec-step3-20260703T195021715Z
recD48qwYUuKW3Kf0,14909,USEF Talent Search 3'9,1,2026-07-03T19:51:16.000Z,26923,"[""Mark""]",2026-07-03T17:20:47.000Z,Alan Korotkin,wec-step3-20260703T195107771Z,20260703,Mark (1),true,4202,2026-07-03T04:25:57.000Z,14909|20260703,Markanto A,class_oog.php,USEF Talent Search 3'9,"[""recDVF7uAGskLIIS1""]",Carsyn Korotkin,2026-07-03,Jumper Annex - Gary Gregory,648,"{""raw_key"":""14909|2026-07-03|4202|648|26923"",""order_status"":""NOT A POSTED ORDER"",""parsed_row"":{""show_no"":""14909"",""class_no"":""26923"",""entry_order"":1,""current_entry_no"":""1043"",""current_horse"":""Markanto A"",""rider"":""Carsyn Korotkin"",""trainer"":""Alan Korotkin"",""order_status"":""NOT A POSTED ORDER"",""source_endpoint"":""class_oog.php"",""source_html"":""<tr>\n <td>\n 1 </td>\n <td>\n 1043 </td>\n <td>\n Markanto A </td>\n <td>\n Carsyn Korotkin </td>\n <td>\n Alan Korotkin </td>\n </tr>"",""raw_json"":""{\""class_no\"":\""26923\"",\""entry_no\"":\""1043\"",\""horse\"":\""Markanto A\"",\""rider\"":\""Carsyn Korotkin\"",\""trainer\"":\""Alan Korotkin\"",\""order_status\"":\""NOT A POSTED ORDER\""}""}}",1043,14909|2026-07-03|4202|648|26923|1043,14909|2026-07-03|wec-step3-20260703T195107771Z
recGUxibYL7sg34XX,14909,1.20m Jumper II.2b,1,2026-07-03T19:50:35.000Z,26823,"[""Doug""]",2026-07-03T17:20:47.000Z,Alan Korotkin,wec-step3-20260703T195021715Z,20260703,Doug (1),true,3592,2026-07-03T04:00:29.000Z,14909|20260703,Ideal,class_oog.php,1.20m Jumper II.2b,"[""recA2tEY30b7N3UP1""]",Grace Lyons,2026-07-03,Indoor 6 - Brandon Serpico,642,"{""raw_key"":""14909|2026-07-03|3592|642|26823"",""order_status"":""NOT A POSTED ORDER"",""parsed_row"":{""show_no"":""14909"",""class_no"":""26823"",""entry_order"":1,""current_entry_no"":""1035"",""current_horse"":""Ideal"",""rider"":""Grace Lyons"",""trainer"":""Alan Korotkin"",""order_status"":""NOT A POSTED ORDER"",""source_endpoint"":""class_oog.php"",""source_html"":""<tr>\n <td>\n 1 </td>\n <td>\n 1035 </td>\n <td>\n Ideal </td>\n <td>\n Grace Lyons </td>\n <td>\n Alan Korotkin </td>\n </tr>"",""raw_json"":""{\""class_no\"":\""26823\"",\""entry_no\"":\""1035\"",\""horse\"":\""Ideal\"",\""rider\"":\""Grace Lyons\"",\""trainer\"":\""Alan Korotkin\"",\""order_status\"":\""NOT A POSTED ORDER\""}""}}",1035,14909|2026-07-03|3592|642|26823|1035,14909|2026-07-03|wec-step3-20260703T195021715Z
recILYUCZEAd0PjiR,14909,1.10m Jumper II.2b,3,2026-07-03T19:50:36.000Z,26855,"[""Doug""]",2026-07-03T17:20:47.000Z,Alan Korotkin,wec-step3-20260703T195021715Z,20260703,Doug (3),true,3592,2026-07-03T04:22:38.000Z,14909|20260703,Ideal,class_oog.php,1.10m Jumper II.2b,"[""recA2tEY30b7N3UP1""]",Tanner Korotkin,2026-07-03,Indoor 6 - Brandon Serpico,642,"{""raw_key"":""14909|2026-07-03|3592|642|26855"",""order_status"":""NOT A POSTED ORDER"",""parsed_row"":{""show_no"":""14909"",""class_no"":""26855"",""entry_order"":3,""current_entry_no"":""1035"",""current_horse"":""Ideal"",""rider"":""Tanner Korotkin"",""trainer"":""Alan Korotkin"",""order_status"":""NOT A POSTED ORDER"",""source_endpoint"":""class_oog.php"",""source_html"":""<tr>\n <td>\n 3 </td>\n <td>\n 1035 </td>\n <td>\n Ideal </td>\n <td>\n Tanner Korotkin </td>\n <td>\n Alan Korotkin </td>\n </tr>"",""raw_json"":""{\""class_no\"":\""26855\"",\""entry_no\"":\""1035\"",\""horse\"":\""Ideal\"",\""rider\"":\""Tanner Korotkin\"",\""trainer\"":\""Alan Korotkin\"",\""order_status\"":\""NOT A POSTED ORDER\""}""}}",1035,14909|2026-07-03|3592|642|26855|1035,14909|2026-07-03|wec-step3-20260703T195021715Z
recK7qBH81Qjq7cw4,14909,Golden Ocala Hunter Derby 3'6,12,2026-07-03T19:50:58.000Z,26870,"[""Indy""]",2026-07-03T17:20:47.000Z,Alan Korotkin,wec-step3-20260703T195048375Z,20260703,Indy (12),true,3604,2026-07-03T04:25:32.000Z,14909|20260703,Indigo Van De Muggenhoek,class_oog.php,Golden Ocala Hunter Derby 3'6,"[""recI42t09rbvMcyno""]",Carsyn Korotkin,2026-07-03,Indoor 1- Sarah Haas,644,"{""raw_key"":""14909|2026-07-03|3604|644|26870"",""order_status"":""Class Ordered By: Custom"",""parsed_row"":{""show_no"":""14909"",""class_no"":""26870"",""entry_order"":12,""current_entry_no"":""1036"",""current_horse"":""Indigo Van De Muggenhoek"",""rider"":""Carsyn Korotkin"",""trainer"":""Alan Korotkin"",""order_status"":""Class Ordered By: Custom"",""source_endpoint"":""class_oog.php"",""source_html"":""<tr class=\""class_0\"">\n <td>\n 12 </td>\n <td>\n 1036 </td>\n <td>\n Indigo Van De Muggenhoek </td>\n <td>\n Carsyn Korotkin </td>\n <td>\n Alan Korotkin </td>\n </tr>"",""raw_json"":""{\""class_no\"":\""26870\"",\""entry_no\"":\""1036\"",\""horse\"":\""Indigo Van De Muggenhoek\"",\""rider\"":\""Carsyn Korotkin\"",\""trainer\"":\""Alan Korotkin\"",\""order_status\"":\""Class Ordered By: Custom\""}""}}",1036,14909|2026-07-03|3604|644|26870|1036,14909|2026-07-03|wec-step3-20260703T195048375Z
