record_id,class_visual_key,ring_visual_key,class_start_time,focus_day,Created,class_name,status,class_no,class_start_key,last_synced_at,show_no,ring_name_normalized,ring_name,ring_no,ring_day_no,class_number,entry_count,display_time,live_source
rec1yNhOIFMY6Hloo,indoor_5|27089,643|indoor_5,09:00:00,2026-07-03,2026-07-03T19:51:41.000Z,.75m Jumper Junior/Amateur IV.1,active,27089,indoor_5|27089,2026-07-03 20:06:20,14909,indoor 5,Indoor 5 - Cassie Goebel,643,3598,610,14,9:00 am,hs_update_schedule.step4_runtime_prep
rec2g06rauPqBpdX8,indoor_4|26918,747|indoor_4,11:15:00,2026-07-03,2026-07-03T19:51:42.000Z,Children's Pony Equitation 2'6,active,26918,indoor_4|26918,2026-07-03 20:06:20,14909,indoor 4,Indoor 4 - Lucy Bolton,747,4320,524,2,11:15 am,hs_update_schedule.step4_runtime_prep
rec2vXVFUTSO7qG5w,grand|26829,640|grand,10:00:00,2026-07-03,2026-07-03T14:00:29.000Z,1.35m Jumper II.2b,active,26829,grand|26829,2026-07-03 20:06:20,14909,grand,WEC Grand Arena - Nate Poliquin,640,3580,647,22,10:00 am,hs_update_schedule.step4_runtime_prep
rec36KG7c2SiqPEVc,indoor_2|26909,645|indoor_2,14:00:00,2026-07-03,2026-07-03T19:51:41.000Z,Low Children's Equitation 2'6,active,26909,indoor_2|26909,2026-07-03 20:06:20,14909,indoor 2,Indoor 2 - Jo Walker,645,3610,515,13,2:00 pm,hs_update_schedule.step4_runtime_prep
rec4TVxmr71ZsPQNp,indoor_2|26904,645|indoor_2,08:45:00,2026-07-03,2026-07-03T19:51:42.000Z,Adult Equitation 3',active,26904,indoor_2|26904,2026-07-03 20:06:20,14909,indoor 2,Indoor 2 - Jo Walker,645,3610,510,10,8:45 am,hs_update_schedule.step4_runtime_prep
rec5UfrN7dlZEqRRk,indoor_4|26749,747|indoor_4,09:30:00,2026-07-03,2026-07-03T19:51:42.000Z,USHJA Hunter 2',active,26749,indoor_4|26749,2026-07-03 20:06:20,14909,indoor 4,Indoor 4 - Lucy Bolton,747,4320,258,9,9:30 am,hs_update_schedule.step4_runtime_prep
rec5XN12WzPAUpBWK,annex|26923,648|annex,09:30:00,2026-07-03,2026-07-03T14:00:31.000Z,USEF Talent Search 3'9,active,26923,annex|26923,2026-07-03 20:06:20,14909,annex,Jumper Annex - Gary Gregory,648,4202,527,4,9:30 am,hs_update_schedule.step4_runtime_prep
rec5hvg2DWexUfrpH,indoor_4|26920,747|indoor_4,11:30:00,2026-07-03,2026-07-03T19:51:42.000Z,Children's Pony Equitation Flat,active,26920,indoor_4|26920,2026-07-03 20:06:20,14909,indoor 4,Indoor 4 - Lucy Bolton,747,4320,526,2,11:30 am,hs_update_schedule.step4_runtime_prep
rec77ctkuEpZmwfgu,indoor_6|26823,642|indoor_6,14:15:00,2026-07-03,2026-07-03T19:51:40.000Z,1.20m Jumper II.2b,active,26823,indoor_6|26823,2026-07-03 20:06:20,14909,indoor 6,Indoor 6 - Brandon Serpico,642,3592,638,29,2:15 pm,hs_update_schedule.step4_runtime_prep
rec7WlaFgndRRZMom,indoor_4|26740,747|indoor_4,09:15:00,2026-07-03,2026-07-03T19:51:42.000Z,Future Hunter 2' U/S,active,26740,indoor_4|26740,2026-07-03 20:06:20,14909,indoor 4,Indoor 4 - Lucy Bolton,747,4320,254,3,9:15 am,hs_update_schedule.step4_runtime_prep
