record_id,entry_count,source_payload,show_no,ring_no,oc_id,focus_day_key,show_focus_key,run_id,date_text,ring_day_no,iso_date,event_type,source_endpoint,class_name,live_flag,event_id,ring_name,heartbeat_id,update_schedule_key,class_no,Last Modified,event_name,focus_day,hs_heartbeat,class_number,time_text,class_payout,test,test_date
rec00d4USLLcM01yn,0,"{""event_id"":""65123"",""data_class"":""0"",""data_name"":""Derby Flat Work Only 5:00am-7:45 am"",""data_time"":"""",""data_entries"":""0""}",14909,644,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",3604,2026-07-03,5,update_schedule.php,Derby Flat Work Only 5:00am-7:45 am,false,65123,Indoor 1- Sarah Haas,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|3604|65123,0,2026-07-03T04:00:11.000Z,Derby Flat Work Only 5:00am-7:45 am,2026-07-03,,,,,,
rec1dIAE81k2K3ZuX,0,"{""event_id"":""65128"",""data_class"":""0"",""data_name"":""Ring Maintenance"",""data_time"":"""",""data_entries"":""0""}",14909,644,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",3604,2026-07-03,5,update_schedule.php,Ring Maintenance,false,65128,Indoor 1- Sarah Haas,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|3604|65128,0,2026-07-03T04:00:11.000Z,Ring Maintenance,2026-07-03,,,,,,
rec2NmkTgJv1IN7do,0,"{""event_id"":""65125"",""data_class"":""0"",""data_name"":""Course Walk/Hand Walk"",""data_time"":"""",""data_entries"":""0""}",14909,644,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",3604,2026-07-03,5,update_schedule.php,Course Walk/Hand Walk,false,65125,Indoor 1- Sarah Haas,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|3604|65125,0,2026-07-03T04:00:11.000Z,Course Walk/Hand Walk,2026-07-03,,,,,,
rec2wrlItWnE2rziq,0,"{""event_id"":""65133"",""data_class"":""0"",""data_name"":""Ring Maintenance"",""data_time"":"""",""data_entries"":""0""}",14909,747,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",4320,2026-07-03,5,update_schedule.php,Ring Maintenance,false,65133,Indoor 4 - Lucy Bolton,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|4320|65133,0,2026-07-03T04:00:17.000Z,Ring Maintenance,2026-07-03,,,,,,
rec3EU1vRJ1k8e6Bw,12,"{""event_id"":""59658"",""data_class"":""26870"",""data_name"":""406) $7,500 Golden Ocala Hunter Derby 3'6"",""data_time"":""1:15 pm"",""data_entries"":""12""}",14909,644,3604,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",3604,2026-07-03,1,update_schedule.php,Golden Ocala Hunter Derby 3'6,false,59658,Indoor 1- Sarah Haas,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|26870,26870,2026-07-03T18:54:13.000Z,"406) $7,500 Golden Ocala Hunter Derby 3'6",2026-07-03,"[""rec8lQxGIu1Nk0uoX""]",406,1:15 pm,"$7,500",true,
rec4XAf0aYgYa62Af,14,"{""event_id"":""59970"",""data_class"":""27089"",""data_name"":""610) .75m Jumper Junior/Amateur IV.1"",""data_time"":""9:00 am"",""data_entries"":""14""}",14909,643,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",3598,2026-07-03,1,update_schedule.php,.75m Jumper Junior/Amateur IV.1,false,59970,Indoor 5 - Cassie Goebel,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|27089,27089,2026-07-03T14:36:12.000Z,610) .75m Jumper Junior/Amateur IV.1,2026-07-03,"[""rec8lQxGIu1Nk0uoX""]",610,9:00 am,,true,2026-07-03
rec5VzVxI6VAX9vvl,0,"{""event_id"":""65115"",""data_class"":""0"",""data_name"":""Ring Maintenance"",""data_time"":"""",""data_entries"":""0""}",14909,640,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",3580,2026-07-03,5,update_schedule.php,Ring Maintenance,false,65115,WEC Grand Arena - Nate Poliquin,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|3580|65115,0,2026-07-03T04:00:05.000Z,Ring Maintenance,2026-07-03,,,,,,
rec5WM34lZ2weT0Xb,10,"{""event_id"":""63392"",""data_class"":""26904"",""data_name"":""510) Adult Equitation 3'"",""data_time"":""8:45 am"",""data_entries"":""10""}",14909,645,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",3610,2026-07-03,1,update_schedule.php,Adult Equitation 3',false,63392,Indoor 2 - Jo Walker,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|26904,26904,2026-07-03T14:42:14.000Z,510) Adult Equitation 3',2026-07-03,"[""rec8lQxGIu1Nk0uoX""]",510,8:45 am,,true,2026-07-03
rec72lpuqYksI93wG,2,"{""event_id"":""63432"",""data_class"":""26915"",""data_name"":""521) Pony Equitation 2'3"",""data_time"":""11:45 am"",""data_entries"":""2""}",14909,747,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",4320,2026-07-03,1,update_schedule.php,Pony Equitation 2'3,false,63432,Indoor 4 - Lucy Bolton,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|26915,26915,2026-07-03T16:24:16.000Z,521) Pony Equitation 2'3,2026-07-03,"[""rec8lQxGIu1Nk0uoX""]",521,11:45 am,,true,
rec7JCNC63BoWWxUA,12,"{""event_id"":""59656"",""data_class"":""26868"",""data_name"":""404) $5,000 USHJA UF Vet Hunter Derby 3' Open"",""data_time"":""8:30 am"",""data_entries"":""12""}",14909,644,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",3604,2026-07-03,1,update_schedule.php,USHJA UF Vet Hunter Derby 3' Open,false,59656,Indoor 1- Sarah Haas,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|26868,26868,2026-07-03T14:00:15.000Z,"404) $5,000 USHJA UF Vet Hunter Derby 3' Open",2026-07-03,"[""rec8lQxGIu1Nk0uoX""]",404,8:30 am,"$5,000",true,2026-07-03
