record_id,Count (classes),Count (horses),trainer,trainers,source,horse,horses,Count (entries),rider_display,rec_id,entries,rider,entry_go_times,wec-alerts,class_oog,class_oog copy,class_results,cwf
rec05p5hQBPfpTp9d,0,1,Angela Gais,"[""recGc5Brn264xxwLl""]",class_oog,Callisto,"[""recl2NImXOkzcPnd3""]",1,Angela,rec05p5hQBPfpTp9d,"[""rec4BWUfDhA6ovO4X""]",Angela Gais,,,,,,
rec07LS8TvgJcQ6tb,0,1,Darragh Kerins,"[""recOdyCszUe4VTxPo""]",class_oog,Rsk Quality Cruise,"[""rec0sYu20wnigw9yf""]",2,Khloe,rec07LS8TvgJcQ6tb,"[""recsGLgZzmF73HcM5"",""recQ08GxtyZiioC8f""]",Khloe Kerins,,,,,,
rec0FUCzNUyfQf4RT,0,1,Jake Evans,"[""recSXiCPwDmQ76cuQ""]",class_oog,Novio,"[""recACZTBR1kkOmdvv""]",1,Sydney,rec0FUCzNUyfQf4RT,"[""recer4I9JB8bWtgM0""]",Sydney Shelby,,,,,,
rec0G59EnQRnDao5X,0,5,Luciano Dome,"[""recjYsJmAKVPUAG2i""]",class_oog,Million's Crack Ki,"[""recvaFmeyxN8zUwyx"",""rec5O8osBWqMAVFnF"",""recGDKWcPo8Ro3vCx"",""reccgbLiz8TcTL2zv"",""recDQEfPh2h3Q33rW""]",5,Stella,rec0G59EnQRnDao5X,"[""reck7KNxJVatu5qIK"",""recZf5JilxOykAhlL"",""rec88WmrE0gSWXFHr"",""reciEAJdtrYf6qWOe"",""recQGvjw92VWHTcTV""]",Stella Kraemer,,,,,,
rec0TKCGVZiPGwRC9,0,1,Fernando Cardenas,"[""recSA6JLxXIoeqSGK""]",class_oog,Barbade Du Ter,"[""recI27QEDztbPYX0t""]",1,David,rec0TKCGVZiPGwRC9,"[""reck904n4YGYEK8w1""]",David Miller,,,,,,
rec0YrrKHcxLsnQPN,0,1,Raishun Burch,"[""rec5VNiNYnXVAnanj""]",class_oog,Neon Spotlight Z,"[""recSZXzYo2rEIrwR9""]",0,Azhara,rec0YrrKHcxLsnQPN,,Azhara Chin,,,,,,
rec0fQwv2Q9zJck2B,0,1,Mari Gromkowski,"[""recQexushi8p8Xgll""]",class_oog,Khan Of Ballmore,"[""recsfWRQp1NAMI84S""]",0,Angela,rec0fQwv2Q9zJck2B,,Angela R. Calkins,,,,,,
rec0kl9lhDCTw4bxG,0,1,August Torsilieri,"[""recel7Tui1CFiT95R""]",class_oog,Lugano,"[""rec05nOvYeZKRmjJD""]",1,Liliana,rec0kl9lhDCTw4bxG,"[""recsPY5EGJuNn2oFw""]",Liliana Nora Menesi,,,,,,
rec0lADouwqghMAAd,0,1,Alison Jones,"[""reccPpBL4rQYdBMJP""]",class_oog,City Of Angels,"[""recLbks7O1PMaT47C""]",1,Sabine,rec0lADouwqghMAAd,"[""recg58xkAVuWMvUpw""]",Sabine Clark,,,,,,
rec0lXJIFvHi7Oj5p,0,4,Wilton J. Porter,"[""recBIuBmnjIBnlRT9""]",class_oog,Kentucky N,"[""recfu3Yfd9weAfidM"",""rec0Dv2QtwVbgQqkt"",""rec8OWj74wrBROtRy"",""reclblfFPGZ6203Xi""]",4,Wilton,rec0lXJIFvHi7Oj5p,"[""recJuDUOmFVaMsUEd"",""recr7okJrTWDibQUA"",""recF0W8eoTTbrb02f"",""recyad0MnsQ6b0jC7""]",Wilton J. Porter,,,,,,
