record_id,rec_id,ring_no,ring_name_slugified,shows,update_schedule_staging,class_start_times,get_ring_days,ring_status,ring_name,source,ring_names,ring_name_prioritized,ring_visual_key,wec-alerts,get_orders,get_rings,ring_name_normalized,class_oog,entry_go_times,hs_get_ring_days,class_oog_staging,class_results,active_entries
rec49a6FWHtrmZs4k,rec49a6FWHtrmZs4k,691,indoor-4,"[""recYzHH8l3BfSw93e""]","[""rec0UgIqZ26YeaaCL"",""rec1IwTivRVrZSoz4"",""rec8DSIJN9YPVJNLs"",""rec8dAO8lKuqyYqy1"",""recAKL934Wv0n6ZOf"",""recEGlIGqROyJTmO6"",""recFWW7JMrzT5qgLa"",""recLRpEX6Tg8pqibU"",""recMD9rCckKxV05f2"",""recQE0t2WUFrzHdrp"",""recWS6RFHkC4nPMtw"",""recZGBuxYy8f0ZVsX"",""reckh25BuDj84fHdC"",""recmlZOBANYMiCDjC"",""recp22jGgcOqOJNkr"",""recpZHMLF4e7a3Fx5"",""recv0GNG7fpEgNwuf""]","[""rec0oEarmiNCuv8Di"",""rec0qJ37TXdls0EI6"",""recBXF28K8W1vRIUf"",""recPTL14HACZryZFZ"",""recSQE0qS8Ew9BQrc"",""recU4E517bSdpXpvi"",""recWvNBtmxMYMKMZt"",""recXbEwgB3BfPX8S0"",""recXnEIC7IhtrP857"",""recZN8yUUAtqwNG0X"",""recf4729y8s0WF0nt"",""rechQvb0cxzcxcv3s"",""rechRXu5MKocrslhG"",""reco64Tt40CuDMnaA"",""recq4ZYlxU24gdUpv"",""recx056Ltp9Mt8yoH""]","[""rec2LJ7Rn6EIi7UQs"",""rece3R7LdRwnLl6A7"",""recH94BJgGnAiuHvz"",""rec8FNP1F7msED5ZH"",""recYiRYpOb4BfJ6m1"",""rec9QZmPzxK9a4ovf""]","[""recBxMlZzcOU02OTA""]",INDOOR 4 - Lucy,update_schedule,"[""recDuWGSCEwKzv4iV""]",14,691|indoor-4,"[""recG4GdyGQ1GCUVC7"",""reciahajYyAmB529E"",""reclNdSxPv6lEEz0v"",""recufmYWpjMcVDYgO""]","[""recPm1v9jAMIr3LEB"",""recztavrGWMC21Xu3"",""rectuJtZXXOni9Zpp"",""recA16vN9zRQshlYm"",""recJPNG9vdlFeg2Fc"",""recCUNlsaer2oQjPW"",""recVDV8bZSKcbY2vv"",""recXviezzTqfddwy7"",""rec6DwFqA8P9cPzHb"",""recb1wfQVMmp6zNPJ"",""recMv8z49YrnKYAnQ"",""recNwxkeirXG9vRqm"",""recP2LZFuvsflOHbe""]","[""recYgNzXLUtiSZy6j"",""recyIjwjUsfYBuKpQ"",""recBe3niBkrdJNbl3"",""recH9JuDmGRPpa3mk"",""rect3W3QvJK8meOTM"",""recNjkg1AHkrXjaXt"",""rechPQXndFVQLiK4S"",""reca0pHrdu8uhAqJR"",""recHyYziW5GQfjpHd"",""recC70pDyIvE1vRak"",""recRRU0BjSMSstKcP"",""recmPq1HwTsV9AYJw"",""recHu2nnNqNkGa6Pt""]",INDOOR 4,,,,,,
rec80qovSB0UvOZep,rec80qovSB0UvOZep,742,stadium,"[""recYzHH8l3BfSw93e""]",,,"[""rec6qkdgBp2w0Fy6k"",""recpn9JsTTwLsVIyA"",""recOWlSbCw36jgTFL"",""recrQE87YFlhLsuW3""]","[""recS2mBzOCgxt9imN""]",STADIUM,update_schedule,"[""recmIiQmG56vTbkax""]",3,742|stadium,,,,STADIUM,,,,,,
recIhO37NHJsFm7eK,recIhO37NHJsFm7eK,644,indoor-1,"[""rec6quDbQpkuF8vAt""]","[""rec04X2GrdcTmwySH"",""recBrLIKKAPaTZlJ4"",""recNGmuMwAriUDkle"",""recObC4nT5G4oBRbd"",""recR6TXpuXfhnRR1L"",""recdplAKpsypynoGw"",""recoX58ydRqo29CNN"",""recxtwDyV8dq9kKxL"",""recCwevmGkaBDEFqw"",""rec8SNDHZCF30edCT"",""recBDzm4v16IW8Vh1"",""recGmPRtJnC4WFefG"",""recRt9CJFq1prVfSX"",""recWJGx6qHW96fsqo"",""recYSCNkz2F85CnSo"",""recb8jkprn8sOf1bY"",""recls2rWcboXWNomq"",""recrH4mPH5vINLozT"",""recrlP9rOFkqK6wz0"",""rectd6gaHCkcQyfNA""]","[""recsBGNmot9P3nNjT"",""recEFA4TkAX2mAkJa"",""rec6xlV0zdFCWyEHa"",""recP2yMa1PCw9azPj"",""recmTQE6dPyZSmq5R"",""rec1086boyIbDcWsW"",""recx1wtOwvdQL6Bmu"",""recKszOm088q51UiN"",""recs8wpHDnRgOnKCX"",""recD4zUBP7BvduCvS"",""recjqe61W6wSvWfHX"",""recep6Ugb4BIvqLvG"",""rec70EzHek2Xdd9al"",""reczVt5A0yi2oQYFW"",""recJGjswpdf6E88UK"",""recoiytQWfiztNYet""]","[""rec87Woh5f6M05YpY"",""recKomO727YOnC24P""]","[""rec2UPuAxgnYKWbv5""]",INDOOR 1,,"[""recJHdVvAU7PmXwXW""]",11,644|indoor-1,"[""recFIwwc2BzmVN9QI"",""recdGfytPma1qurM6"",""recwyDxtfxBw0DZbz"",""rec8zOFRmcJMvA0nd"",""recW4jxvuqemFd5NE"",""recy3cZExg6UUCOe7"",""recZ593igBWBPva5E"",""recQKKwcBj75YKfhh"",""recdpLYo9uZFRYYsx"",""recSnl50eNqFNZ4Oy"",""recG4SfQzeRKTsxqz"",""reccXfPJKaTCsEF2S"",""recX5kM1vHMwanlYV"",""recckvQN0a5Y6obWS"",""recFQ8zXq9VjoliLl"",""recx1DfwpIfoxAOzI"",""rec3sQXFsirio27iM"",""rec8fl6lnHSsRbvs2""]","[""recQbDhfD7h9XtJfh"",""recuiWJcvzQ9igUpY"",""rec4OXs06Nxdv4gVg"",""recqA7IOoUPqKOQBN"",""rec6FsYwgVlwAT6hI"",""recIpkDl8ImtOOOtU"",""reczMZiN41pYortve"",""recZT2nTshFrBnwGB"",""recRNQqp75Twj6RCc""]","[""recd0MR6a7k5HgHzX"",""reclsOvUkajBC49yu"",""recTRTQoa7uU21rlT"",""rec5lVhpIkFfuytLw"",""rec2x5uj705PjJGes"",""recHZiaZjPIml2Zib""]",INDOOR 1,"[""reccBE7omQXoxMrec"",""recsKys33yNX5Kvym"",""recziPesKwLj7xz7R"",""rec5KA7S15iddrSyZ"",""recXeRa65L7eyPrA5"",""recindKg93HLreIKu"",""recY7y8DK2X5u4ppQ"",""recyEhXDXeTC7xF5q"",""rec4WLR5Nnk0lL6Ic"",""rec2yhPOvTpQtLi6b""]","[""reczoJsly5Ikcnwjd"",""reczcvCfwfRmopQ21"",""recpcezkPwrreMoyq"",""recxLS3b06Qg89Lkc"",""recF4DCXNr6pHgzRZ"",""recjUP1rQsVhOknhK"",""rec8arvb2dLVZDTAY"",""recNgL5TCcNjxXhbf"",""reccNQTEZhAkV2qEu"",""recLo7GkrewP2AqKk""]","[""recGSMK3N74Lpxbwd"",""recSaKky2Pag9xbVT"",""recIYOluvdA1mzOAL"",""recz72KTWq62WDahl"",""recLd7WNCoMR7FldL"",""recS8UYrb9SHQElOt""]","[""rec4DJCGowqFOFdU5"",""recHAfyQQaYP7Qo64"",""recMKbvTL6pXh4MBC"",""recMgIIqNebADfe93"",""recSDeVOEDOreiTiA"",""recVekNDDukUJixfu"",""recWVDD7K86dcovAe"",""recdgr3x0omDS0xWD"",""reckByotcKMrMbdGT"",""recwRfyj4pCKdFwT1""]",,
recLpYWCRxBEPGXpM,recLpYWCRxBEPGXpM,687,indoor-6,"[""recYzHH8l3BfSw93e""]","[""rec3wM0lJxbtm6XrT"",""recUpQZNMCil0v7Yd"",""rece5flUX5FlhmhSN"",""recePbQCKAHXSqFPP"",""rectiu9JLtmGpDUUa""]","[""recBIqK6VIc9FFKtj"",""recWeYMAsn82NeIFC"",""rech43PUp0BliXqq3"",""rech5rn6wXU4LCwyg""]","[""rechrnOg68lbjo9E9"",""recIDzZLILNLA4Jh4"",""recusrluI6q1s5Jur"",""rec9XDJcbDUQO6gco"",""rec8iaRGi37pdRRji"",""recI6kinThUSZ9rJt""]","[""rec4xIvUd67QAGynL""]",INDOOR 6 - Brandon,update_schedule,"[""recwT2IGXj1Apgf31""]",16,687|indoor-6,"[""recsP2eRFxG453786"",""rec5Pkw0fce38VuxI"",""recfKBWZgoMszlEQR"",""rec4YYYhrihWhqTIc"",""reciTHnWgIszQCDM9"",""recK2WMOROiWYOB50"",""reccYJFaGQ8r1jG0j"",""recD96ukvZcVa23Ag"",""recu8cUvtD0pj2zW7"",""recsudkxKKgG0WPVR"",""recDgl8XV2kqqM35O"",""recJO5nCkooW0Ztnb"",""reczWqIzAb9GEVEOz"",""recbV2O8jlSqhBwLT"",""recnBy6JYmQm7XvnW"",""recQSJbw8lQI3LAOu"",""recVcXB8AfIJb7y7o"",""recyVkCfboIGne1uE""]","[""rect8cpSrzy6eZ4Md"",""recgl4pdJWsBPVDhx"",""rec1I64kDPHHTNl57""]","[""recoquE7hDS1pVabD"",""recoq8Jydcp9k8J7d"",""recnhQSC5sZsfuZMp""]",INDOOR 6,"[""recXSue955mdSudfZ"",""reci0czOVqr4fAn1O"",""recvwVeBHMBTNXUNv"",""recz8WVsKbTeKseJN""]","[""rec5QlpGgCFQQQQof"",""recUKoTBXkNCBMgn1"",""reczcOMi9ze9Fxb9Y"",""reclhw2ZmvrYoiYPA""]",,"[""rec0H98knsVwMXN5w"",""recCXBPD2ysxEVOzk"",""reclPRtZdN0n93XRl"",""recylA8MZ9acHquD2""]","[""recL6rvvjKgdPgzsl"",""recxvtyv7cN6wvTNA"",""recS1DBpn7M7cZM68"",""recMMMFaoQQnL5Xjv""]",
recPLpfn3U25TPkou,recPLpfn3U25TPkou,642,indoor-6,"[""rec6quDbQpkuF8vAt""]","[""rec0J60LtNuqpewsc"",""rec75DkT3TNaDVnoF"",""rec7dEcTaTXvU6Foc"",""recAdfrK6qXa85Ime"",""recXiqvbXoBYa6V7y"",""recl9Pg5JTL4jnEHu"",""rec8m24XEiaKtZfOQ"",""recCYjCx8VsJLhfYl"",""recCzYdvNT7tCyVPX"",""recJw4R3skRT4NuAG"",""recNlDpfVTeIQ8wmg"",""recRI5gI1sNGt692x"",""recqsHXu4TNW85Jt0""]","[""recbopFVMkyFTrl59"",""recz18UA93ZqDUIEH"",""recEOsMkoFME4lWH5"",""recxZuX7hGu4OYEGQ"",""recgq7tLzmAER99UT"",""recOWnqGEdPJTUyaD"",""recHEZjp4zEL1y3Cd"",""rec3fhnr2z5qWTbNF"",""rec6GMG7oP4iApG0s"",""recizdZ5pesGF3GnB"",""recJiFIGM8rn8Yb4H""]","[""recPS4lg5K5mMjFz8"",""rec9cIhwwkDzUoX6q""]","[""recum33lvv3TXUYyN""]",INDOOR 6,,"[""recwT2IGXj1Apgf31""]",16,642|indoor-6,"[""reclsCE7gqbxvHzyH"",""reclrN9tkLORx4PUl"",""recMXubJMzGXQ7dsY"",""recRQeBWhwa1aEmgT"",""recewekJxsoIvfayd"",""recnvwVNR1dw0bQrQ"",""recRJTP3ZNSU7X7eZ"",""rec4nAyOCQ4vtnLZF"",""recR6TJnqeL6OLh69"",""rec1eJhqFc33AZm1I"",""reco9OucV8JIbdho7"",""recHHqKGVIBzPNXMh"",""rect32KznBbTik3bb"",""recFIgFMvcw8vxEFs"",""recXTGUMyEWeLwjl1"",""rec67Uhs5GP71OdVY"",""rec0LMXjTF3BZ4UwF"",""recZXt8LqQBSBHEmh"",""rec64RKY9BQx0n2Q8"",""recAfFB6A49ltxcXr"",""rechSgzBVCzo4FIkK"",""recOerz7NzxyVtUH8"",""rechWp1PFiGICTJAs"",""recs6WBSd0kSDQnLN"",""recseghwvhsy5cSnM"",""recHCZiPi5jGAYydf"",""recF3ZYRgyz1b0fZM"",""recxjnggUhOjkWhJB"",""reci79bCaBzl0hjcX"",""reczOjGuMgxJdKdTR"",""recS4z9tGhoqPBNcD"",""recvy4cvD7Jjlm8qJ"",""recgvUMCdE4Au90kw"",""recxRCyRmWiH2toQd"",""recCsIE9uMiA9ma5r"",""recVbUIw1qAlB9mBN"",""recmHzmuIF2JTlXpv"",""rec7Vs1Nnec9RBhtW""]","[""recbw2VXwrYGxTSB1"",""recgOrpL7R4gRD8BC"",""recKZJtd4JKxwD9kV"",""recrYxt16a0yV1jS7"",""recFtFhM7zZB3qZJX""]","[""rece4lTK00PwTA9iq"",""recPPMEvR5CuBU2OE"",""recwz5Q5WAOrNVJHl"",""recg71caa5rYJqz9K"",""rec8KKUgPeBaekH3n""]",INDOOR 6,"[""recwE80SK2NEBuQ0g"",""recRfCvoopfJIysre"",""recP3PQArxD4Tvc2u"",""rec3c7ZH8sZFeKJFI"",""recsxVxqgVUNJjvb2"",""recR5xuqyM7dTM1x9"",""recCXk1hmO4OhqnOg"",""rec3I9jr95GmQPfyi"",""recQET6bE27KKYyhQ"",""recYqFMhzIJ1j57L9"",""rec78OqD5qyWhM4gG"",""recyrdvxmpcjkyVmM"",""recFGAu9WXhct08y9"",""recOrY5XFxa1YVM6C"",""rec4BtKWHPtNPK57H"",""recaAKT7AgKusWO5T"",""recD0Wv9mkI0cdiNp"",""rec2rLKdslbcineGL"",""recJXpgHtCx7nfhBb"",""recBzaGh0vNdOFJ1I"",""reckHrI3AFsslsR6s"",""recnTChWBVv7nDghc"",""reciuOAoHsZGu1OIQ"",""recLzfDGfDCYxEADh"",""recT4PieIgfPfYG2q""]","[""recq3YF8PufLJpekS"",""rec3Ki5ddqMwVd5Zv"",""recSMowfE5wcV6pqu"",""recaobAyHu7aYe5D1"",""recGTRPbiyFWGXFfT"",""recKPPbxRShj4w1HS"",""recwvHnJiHeQ6kjFj"",""recGnavBPW3qQJ2Ec"",""recfeUZ5OQOejscGE"",""recIq4wolRpvMPZqi"",""recQP0wSqj9XJZtIT"",""recWJ3nunPwpxW8M6"",""rechOWTv6MeILO5ZR"",""recKxLRsV3heSMRSs"",""recIj8qC8Tm1aLVZw""]","[""reccvDdNGnkYYd69T"",""recWxeeHuonXdcUCb"",""recro532L52e71Aro"",""rec3hwdm4EfYMTQFn"",""reccP3DwYBYaA1zTz"",""recMGSHeT9TUwAsfZ""]","[""rec1lITZDEzvBPWov"",""rec4eAOzBYo3GobsM"",""recDl5FAgsOqLPneE"",""recFjrgwHyBA9km87"",""recGktQyKGZgPdEEE"",""recMuLnN6z4ndpQMd"",""recOpPnhh7xklkifh"",""recQWDZkVxaMnH8pe"",""recdhicVozqEph1Y4"",""recyJqmjZmWp6zGWj"",""rec7aUy9LZLSi4x4M"",""rec7c4JvVPFXSEuXm"",""recLm4bIWsCwKtsOn"",""recM9FR79XkcNTFdh"",""recqi5yPr8ccG3iPu""]",,
recScPGhIrfPpFVI9,recScPGhIrfPpFVI9,645,indoor-2,"[""rec6quDbQpkuF8vAt""]","[""rec2akEwORDJpOjKF"",""rec7HLhnYQ3IqcXnM"",""recAX9qZSkVW8KkZI"",""recBi2Wzb0pwHM9u9"",""recHmeZb5tbM7QXUy"",""recLVV8ACaD2zV5ph"",""recMMa9GjX1xEdEH8"",""recP9fuQnn2igNCS6"",""reclSukHC5fUJ46oD"",""recvc6o9SK9et6QWH"",""recwukKMEUwtVza8d"",""reczJheE5zngyIGr6"",""rec3prKX5eJvYu4ZU"",""rec6Pl0efeDRJUY7g"",""rec9bU6l7UvDb6KP7"",""recCvGDOhpn9CRkjZ"",""recPvHpudLGgFjat0"",""recY4yUz2IJDny5uG"",""recf0cTXGK4CRO26E"",""recgydWogZvjx1Oni"",""recjnzwjRyoTMBFGK"",""recl7TWbC1RdRFez4"",""recrJcG9sBNOvUq8P"",""reczHcHUCXSbgpHIf""]","[""recBDKAh8ZJ8FeUjo"",""rec78b1LqCfpOeaGD"",""recvU7xF1FTmlD13N"",""recwCJtf9iqCvUQ1y"",""recCy3e2doBV4DpV6"",""recWMuFuMmpvlUez3"",""recXguPplMLAcGO9g"",""reclxhyXuFXcRrZAV"",""recfUxc38WgAHAMV3"",""rectB41U8EwW9ixeu"",""recS51I7LsWapHuWe"",""reckYGNPjP0f0y6Cr"",""reccv8Pu4OHZScm56"",""reczgI1Fh73ioukm3"",""recwYHLPABT3y5vJ5"",""recux4Ox8xyGZkr9a"",""recFCiGSgqAacGuNk"",""recl1uNeeFouQzZv7"",""recciJx9MJGZEbsHM"",""recXmVPj3szkPkDrI""]","[""rec0UdaeOU9eVxxGj"",""recSb68DHEKysEABq""]","[""recdltZRIcqbaXhPT""]",INDOOR 2,,"[""rec0Nq836lYqXfWxI""]",12,645|indoor-2,"[""recCTPshidL4v6mrA"",""recwGXotkd1hJaMQD"",""recu6F3mBS44UGjAz"",""recOksVDSVK3nEQWF"",""recjtAy4dy9ytoKgq"",""reczfnkpX7oMH7aW1"",""recq496mCIlPsrv9B"",""recH2darrwjQEyVia"",""recI500Ltk7e70Y7M"",""recszryzq27zNISF7"",""recxoAbmy4t8oFrr2"",""recZESEEl0R7sg00a"",""recAb441bXkkbP1B2"",""reckyIDyvlwoWMFtC"",""receswjRQPWbRbUvZ"",""recRlLnFANCwnLZ4L"",""rec7Op8FqRTIIPAGL"",""recMZYkZIbQzNmnzT"",""recuVD0EpoAgFLs0u"",""rec56acHQ4wZX8MKs"",""rec3GGLFEGOEQTYru"",""reczVrH4ul6PIPZ7G"",""recYrw8swF7A6YD4M"",""recZnfnowXhZTzBue"",""rec7nRYkBMM3wvbT1"",""recqGPShAwbt8YQG2""]","[""recF8YpfikJ2E9qlh"",""recc5xkyWRUgU1rzo"",""rec3tyC5LYmFg90iq"",""rec4YETyLJJ6LZUXa"",""recP1bwM0xRwEzmns"",""recUTjvrMPPeVpeNQ"",""rec06VH54MrWUXHVE"",""recvPcYHNBCf1eHmK"",""recfnQasSLEQlvHJt""]","[""recpXsYMmz50AQdsr"",""rec1vsRMewzbnGa74"",""recOuoCZU96HdHUkQ"",""recuJcxnbzmw5XwEy"",""recJin4JoPryqX2u9"",""recMoj77LRflASWqQ"",""reclSjUBzoTvCL9Mk""]",INDOOR 2,"[""recvtYoqJt7t1H3PW"",""recU23OXos2JEIsTr"",""recucXBBlgOQJVjOw"",""recivOon4P74tJCna"",""rec5lLLSUj5bqYoLs"",""recnbj1nWU1s8sdmV"",""recfd3bibI9mxqdaK"",""recSJoETbIjxAVvav""]","[""recGkaexFyaHkO23a"",""recptqtIbZh7vGTDX"",""rec3DnDrxnDBnh5I3"",""reclaNUVVaxj46Vp5"",""recIw5sSGaS95M1Ej"",""rechV7POobAjU5Gny""]","[""rec3YHGXTpxyx72Fx"",""recnQ3t0diXhQ3glU"",""rec7qSWtukTpbnZN9"",""recn94wyheuHLtl0B"",""recp5WdW4TZGOijd8"",""recOXhDnKAKTYG1A4""]","[""recDyHlXwAap2WDwL"",""recN1gEQWYCMdONfk"",""rec8kcPgE2l4YnsSV"",""recPi5Q9n77aOvCig"",""rechXcADkJGGs5BvI"",""recs6DgNppxh6GjsC""]",,
recUbrvF7wkfPdFYC,recUbrvF7wkfPdFYC,741,annex,"[""recYzHH8l3BfSw93e""]","[""rec6obu9n0mg3HQPp"",""recOosMDPLY1a6hyD"",""recdxpKKn22GilYf2"",""receBUrlJmuy3Wjcl"",""recezo8ZDJZmDHbfp"",""recgLXWeZthayOdtn"",""rectruKfAvA1FTJRd"",""recUqUZtjd4MihuyI""]","[""rec1DO0LE5JiMQMwF"",""recCqKaGlPnCJmp4q"",""recJD04v8bl027w6x"",""recTMLlFxwfM1nqlX"",""reclGty6zykjzxwnj"",""recu1vZRJ3p33GWt1""]","[""recPihhwVboxl3rpX"",""rec12re8Wfpv7cQyI"",""recHrlFt3tqtaTzx6"",""recPoDVRP6hpCEdYz"",""recpZgyfvad6Fqx3b"",""recEE0nTSrffQdRry""]","[""recnKzsoJTMit2vSC""]",ANNEX RING - Matt,update_schedule,"[""recziSZCouQrIM4zH""]",2,741|annex,"[""recSntybpezvllUG2"",""recKpxMRBrBL2uenv"",""recejRmmXMol02PGq"",""recfxOyMrwxtAroic"",""reccTihJ6NOK1MVXA"",""recsqZu4P0yQUnXqR"",""recWDDtr7FY1Z1UdD"",""recaPpoEkkRTuVPSK"",""rec9YebSFizABCILQ"",""recjeOikuWANZwoDY"",""recOJHYTFfAZUUrx0"",""recEneqUe6jjKwwKc"",""recM0Ui9ewVd6pmKl"",""recFqrbJyUw02HnOE"",""rec1nrg6sfyulYcpM"",""rec6tq6zFuTFshe9s"",""rec81i9VwQRhaP9QK"",""rec0Wk2958HY3j2zj"",""rec3O1iRvCrA9S3BG"",""recZsTK2SBqdklfUU"",""rechv9QcOxZ8ksPve"",""recg1RddR9gwXNspX"",""rec3KIgI7FExNLqPG"",""rec3z5T2kZ4GnlCfs"",""recm5nIT4f2LWqDAX""]","[""recn7HgrDfl1qzQXi"",""recOWB0wxD7JGi8EW"",""recXMJDxyoZ0cncxn"",""receEOazy4nYz33PE"",""recjFPxxRaWsCwHPS"",""rec1lHmxzM7rbgP91"",""recnUmTFsLXIasrw7""]","[""recyy7DDq1GJMonLV"",""recUkWkYrmk0bhNmf"",""rec1kn72r4ClYXGxS"",""reczQ453Ukb6E8AtH"",""recKkqSyRHGFSaXRQ"",""recpeC4CWKrPVkiSV""]",ANNEX,"[""rec3aGS380avuH6On"",""rec9uUpIFeKbPGBlm"",""recXVvxtiSHNDA5MT"",""reciC9tuLaiAWTKyW"",""reciTIqeKPVjhYIWc"",""recwhVOXttc6gKSiM""]","[""recVrpjf8NDlCKl7A"",""receHjBveagGPPZvk"",""rechB5Z1xKG58Tjs3"",""recbUTVDamLWAHax1"",""rece6ELpZpUWa8DpQ"",""recjPrNyS7Hlk3SUJ""]",,"[""rec0KarEAfg6x3FCq"",""rec6ZlMeqnJOoaGEU"",""reccjzjTXBjuJ9bbT"",""reclInkp2cuCbriMJ"",""reclrOnF3xRTQmkot"",""recz6AI8LQLpads8j""]","[""recM7ePRIiMfiBEK0"",""recuu2WurT7lgvQn6"",""recb7QsFExkz0wx2u"",""recwNYxz0f4jNlvIm"",""recrxNLslVcWWGuDn"",""recq5DenL0vl8Snuf""]","[""recOhXh1BRpcGXB72""]"
recX3iLPIxCumtIpR,recX3iLPIxCumtIpR,690,indoor-3,"[""recYzHH8l3BfSw93e""]","[""rec8ZzJ2TIMLnKXiG""]",,"[""recahnxAu3HikLARX"",""recxBTsAatG7Hi7bX"",""recsHSXoiDWl5Ntfs"",""recOermPMSlj7hXnh"",""recyKqgfWIMsVK11n"",""recvpm5Tn8Iyh3BRs""]","[""recniicF1JvfIzvzO""]",INDOOR 3,update_schedule,"[""recF2xL9M4NlVIGdX""]",13,690|indoor-3,,,,INDOOR 3,,,,,,
recbIfaR987YLeOAi,recbIfaR987YLeOAi,686,grand,"[""recYzHH8l3BfSw93e""]","[""rec1qPx6d7OqSkMpm"",""rec70SA6fouXL64so"",""recNBNNImFBNik7UI"",""recanPvZRnGjwm7zF"",""rechpxj7VQc8sMxCg""]","[""recEB5cfCgY6mVTQL"",""recGVa0sOdBnoTNWE"",""recILgjfEpadubz29"",""reclgtLFHpx2RwJjq""]","[""rec7pLT7OAcvvEEub"",""recxXbXUfwdoJp8ze"",""recu5UMG9fVqCLyac"",""recrbELRmJMDA3ElD"",""rec5wmB5Aslwj3TBO""]","[""rec2oJoyPqWOI9BaB""]",WEC GRAND ARENA,update_schedule,"[""rec4fnRIZlJBER5RH""]",1,686|grand,"[""recyk7yDpYaUtxvSv"",""recrzcmAiUmDtaMy2"",""recwI3Bjm0FADcH4z"",""reczU0wB5JR2iyctJ"",""recSa3eKN82JBFD4y"",""recUujlb4LAYAFLKR"",""recnMgnpWw6hrqDuG"",""recIHXGsRyEuTgkJm"",""rec4XNIkxGP2JeJZz"",""recmH3gwjmih0Fy1F"",""recFCUjYbkdYvWBpo"",""rectUKjrwvscaffop"",""recmIlghG5snB7fL9"",""receYKAuh0QdwXgbV"",""recsT29BQkyFZ8KPo"",""rec8NXMCcuM8L05o5"",""recZ4ud7WLP45Hshv""]","[""recRXgPvbOkZdxBa9"",""rec1JSFfG2GMVW3kd""]","[""rec7DGnas5UE7cU5w"",""recEPBKfwzfBylJhX""]",GRAND,"[""rec90LFOuXBVQJgb8"",""recBXaMXfXbcZHlRc"",""recqmeyH5ZioMXWl0"",""rectDBMkNUIyRSL2D""]","[""rec7UqqaKrYoAtcT2"",""recq3LauGU6iaYjTe"",""rec072uqXZOGeYjnM"",""recpr1DXHu512wkTC""]",,"[""recEMPG8xkKvTaVHJ"",""reccPqzZMkaeKcQ1F"",""rectbTsSnmRHGqwbx"",""recwsgGv5hhRLllSa""]","[""recnPaxYCJIQYdVrs"",""rec76FNWfk9hIU17K"",""rec5OflVpqSlMVxel""]",
recbtp3vCFG3g21jJ,recbtp3vCFG3g21jJ,685,indoor-5,"[""recYzHH8l3BfSw93e""]","[""rec2qo3QUwjZ7LM1R"",""rec3nWmnUJYYfaOfq"",""rec9IlghSjzUxH3WP"",""recEE0XGtLpojB5Ti"",""recU6iQjhLLW8XAb7"",""rechGfkfR6nT7xyQC"",""recnNZrFTB4XeT95Y"",""recwfViXjy6X3yINS""]","[""rec24wdKVgedOtQZr"",""rec50qvAYZAX6OCYv"",""recCyfsW8Wg1nDbTm"",""recSS9qERYJ2s8qQM"",""recWEXwDZPJXRf3FG"",""recomhOLGRe9YephR"",""recwQdfhtI9ipDYDr""]","[""recKl2ice3WFUDdpa"",""rec6zYHDEHjdCWXD0"",""recbRlNLMRLsxzAdW"",""rec2gAuifdD7OC3UV"",""recDqN5dLBbeHCjZR"",""recRX0DmmjL0qZi5i""]","[""rechbMWBpDBvQKGrZ""]",INDOOR 5,update_schedule,"[""recqXvRmo1rlA3vG2""]",15,685|indoor-5,"[""recifl2YGh8xWuX9n"",""rec74rl8mP9PsR40n"",""recW9qeOd6y8ICp6B"",""recxvxXvrlBXWdFMg"",""rec9rWmP0QhHXZTxj"",""recpHwPAbvaQmwvS7"",""recN2vhwD1KUrCMSv"",""recDctGZg2fgZ7HXL"",""recrmdzOf3RgvxqGq"",""recHGwLnHHEgpPQGi""]","[""recYJeneQkKbW1CSq"",""recnlyT19JzCtSA3g"",""recugH7ud9RUBR8QT"",""recDK02QCFkBdfaRe"",""recqcnrZEvwmov5jY""]","[""recNDgVuNcSmlP3ox"",""recEHV99jeIsUjq43"",""recTyhIkA3dvZW64V"",""recqTInHJm6BDRAnS"",""recCmjoqxAycTQIXg""]",INDOOR 5,"[""recGCI5hHyLRdjFl5"",""recpgxvjU0tHArwgQ""]","[""recEdZ4OFqFqFuLuN"",""recUPiFxRV5IwTSfo""]",,"[""recJrnZsZVka7MfbC"",""recs5cpucn20uU66n""]","[""reccMU1QmTRnLdELe"",""recqP4qfv1OC3kv3i""]",
