record_id,Count (entries),Count (riders),trainer,Count (horses),Count (class_oog),horses,entries,rec_id,source,riders,wec-alerts,entry_go_times,trainer_display,class_results,active_entries 2,tag,active,class_oog,class_oog copy,classes,active_entries
rec0NNSv8vJImVEWF,1,0,Kaileigh Brandt,1,0,"[""recdqDzwsRLcZd2IK""]","[""recU9FdSfOVPTyxvg""]",rec0NNSv8vJImVEWF,class_oog,,,,,,,,,,,,
rec0OHl8PfuMKFsyt,5,5,Laura Gaither,6,0,"[""rectJHLGfkz83GWKx"",""recHigUbk8O2rt4YX"",""rec89xy1xTBKI5qS0"",""recV1VYfXGOki1cWY"",""recZUPNBMf7ebTNd4"",""recXCgJbFKBbLp1Jk""]","[""recVoPNyQWvqU4tMF"",""recNuQZgLFZzx6m0C"",""recpx4srwMNP8KfvP"",""rec5DPfOVGzqUDCig"",""recnGImQGdEswUBto""]",rec0OHl8PfuMKFsyt,class_oog,"[""rec4GU1L6Oa9rB3UW"",""recZCyDovHC8Skku3"",""recbM07wfCfOR7Orx"",""reciYNTcLBgGxIdBQ"",""recteKVeDnmWYvJOn""]",,,,,,,,,,,
rec0bJCjAgTlhNspi,1,1,Justine Raven,1,0,"[""recKxLdINw32R5wt4""]","[""recpIloT88g3wW465""]",rec0bJCjAgTlhNspi,class_oog,"[""rechCNEEWI9jQDhjW""]",,,,,,,,,,,
rec0eBWOxYRez99HS,7,5,Lia Screnci,8,0,"[""recrLnFNUvl173919"",""recWqrsqH1PtDZGKQ"",""recnJ0yX8uvWRaYPo"",""recAcezq3hDqF2BUf"",""recBGR9exROYploMW"",""recc9AIrEF9uWQsvJ"",""rectzY46Vtbkcr12D"",""recooivIxvDUGq9un""]","[""reclJXmGJpF3hBccU"",""recsuO9dXevR7qQ6h"",""rec8bEkXQ121XUPro"",""recykDsuwpWbA5U1N"",""recNjbOAcTg809hYR"",""rec74jz5MQsVEZGqt"",""recyh6ROTkkw13BrX""]",rec0eBWOxYRez99HS,class_oog,"[""rec5RnC57daRX7Mi1"",""recP43wcoh66HhylY"",""recchBHYpfx21fK86"",""recqv8mkyhPNuHHzH"",""recIpUgiZMUitm7VT""]",,,,,,,,,,,
rec0mxYvqyiMsXHtK,3,1,Tom Monaghan,3,0,"[""recHcQb0mthqatoC8"",""recwhyo1jEAFwr2JO"",""rec4t0FzVih0kCmed""]","[""reckUoAy4E5f7VFWf"",""rec6wNQ8qnyhIyKnM"",""recYMjXkeMz3isTBm""]",rec0mxYvqyiMsXHtK,class_oog,"[""rec8KP4FWbKeaxKB3""]",,,,,,,,,,,
rec0wCs5ZzmAW8kSL,14,12,Morgan Taylor,15,0,"[""recx8un2Tv1l1f02C"",""rec0ccuSsFq6Hqk01"",""recufdHnl1gkwQwOi"",""recSAm7W6nYfSQB4U"",""rec0vbmbIKozfec9I"",""recqyb3QQVYkFi3MZ"",""rec8d4baTtu7H8kBN"",""recDz4Szz11aFohBg"",""recsxehx14guGuKey"",""reclEAKZ4QzaQgulE"",""reclP1RPVHw9ZOOvC"",""recdanmPVXbmzN9w1"",""recaXaAKeiLL3ev6g"",""recqMoyYpK3eExijU"",""recNbuPv9GwtRbRRm""]","[""reciDvLCK0Gc6NOIA"",""recwGcO2bv6w3EA36"",""recgtycNp1GFBLio2"",""rec2hsK2SEMEvJsQF"",""recgDhuSDQ6zMAbx7"",""recAZNrHFA3dH55Rq"",""rec900wy3a31okVGL"",""recbTTLdQQzmaK8Yy"",""rec2ycsr5WvP5uEld"",""recVscUeLQRzogBzv"",""recSQzHuz4JIZFsuE"",""recz8Od4fzbW65MXo"",""reccydfziSmL8Nnrd"",""recl7NGfdcTTxC02z""]",rec0wCs5ZzmAW8kSL,class_oog,"[""recgDIs2S8W0GaeCz"",""recckz3rNTMAJcTAb"",""rec32BAUTXsxaWP4w"",""recrf7PgKC15AUlP3"",""recOYADvDrfdlL1bZ"",""recHIRQceipabxP3g"",""recZe5YwA2cdOJKps"",""rec4cEjMecSZDXqFx"",""rechOpyPKMOuBZwv4"",""recME2nnHHq3MGprb"",""recQk7a0vqvqeHwYS"",""reclpKfaEvwZJnMfX""]",,,,,,,,,,,
rec17fXVv4zXio64e,4,3,Todd D. Minikus,4,0,"[""recPO35JA7d1y6oYZ"",""recy69guaLLe1O9mL"",""recIOsp7jhIlRPGDe"",""recUhB6bLHbrbMKIF""]","[""recNSanExf7hcOBoM"",""reccpYhCZAY4DbLiD"",""recJXyicG8Vx1pmCH"",""recwxhnQFuwUfaehT""]",rec17fXVv4zXio64e,class_oog,"[""recxNEqG5Syb1Sa3u"",""recHmTWBod6JZu0hF"",""recw0WGQE7cSRXkqe""]",,,,,,,,,,,
rec18D1jOyn6X42k9,1,1,Megan O'Brien,1,0,"[""recxGALw1YEWdE4UY""]","[""recZnssMwPiGKbLvF""]",rec18D1jOyn6X42k9,class_oog,"[""rec5ajwSmFOn8GV9H""]",,,,,,,,,,,
rec1FgPVFDZY2PmXP,4,4,Carlos Aguirre,4,0,"[""recIV0AQbZVVkxgVz"",""recchmykdcWsU1Wra"",""recdoTrdHp6vzz5uX"",""rechpvf5DyOyKP52h""]","[""recv0B2iG4iBLz2LX"",""rectDB55uRU4HAI9U"",""recbjLwlo9lhPfYJN"",""recVEMvy0QLo2P805""]",rec1FgPVFDZY2PmXP,class_oog,"[""recSjgiaxtLvji5uq"",""recudKxq4aIcwHDSV"",""recxLjC7HUMdCYgIG"",""recYnDaBSRGGCe3PR""]",,,,,,,,,,,
rec1I0IvFKaYQa6K4,8,9,Wendy J. Hechler,8,0,"[""recZN8KskZlEeRp96"",""recbT2euR7P1bjp6i"",""reca7kq3xJU6MLy9R"",""rec89MeFFkOvodxoK"",""recjgo7hE3earZlS7"",""recxYp7jpolOw17jw"",""recIk2I6bQCTUdCuQ"",""recRWZd7OyBnuwzol""]","[""recG4NPYs6LUAyjtd"",""rec7Op9ou8Hbrpp8I"",""recFfJUbnQtbefgoX"",""rec04G5QautLKroO5"",""rec0MpaYnNju2ExM0"",""recCPYDQqze5U10UO"",""rectFtbsLs4W8L2Ip"",""rec4dXlqCDnn7yZkr""]",rec1I0IvFKaYQa6K4,class_oog,"[""recvzY7VV91XCa5aH"",""recj6C9Do5xzRdjbN"",""recBT5NSSosYjYJEA"",""recILyVkpLmgOfH9F"",""recgvL9zCVq8cPEyZ"",""recF9YT0HjPEeG1TA"",""rece86WN8FUEah4HY"",""recAIlcnxeRCGBqqF"",""reciwY4N97nHnfqdX""]",,,,,,,,,,,
