show_no,class_no,class_number,class_name,class_display,active
14906,28941,2202,"$32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1","$32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",1
14906,29046,280,"Baby Green Hunter 2'6","Baby Green Hunter 2'6",1
14906,29047,281,"Baby Green Hunter 2'6'","Baby Green Hunter 2'6'",1
14906,29056,260,"USHJA Hunter 2'3","USHJA Hunter 2'3",1
14906,29061,265,"USHJA Hunter 2'6","USHJA Hunter 2'6",1
14906,29065,269,"USHJA Hunter 2'6","USHJA Hunter 2'6",1
14906,29066,275,"USHJA Hunter 3'","USHJA Hunter 3'",1
14906,29071,245,"USHJA Hunter 3'3","USHJA Hunter 3'3",1
14906,29125,695,"$100 1.0m Thoroughbred Jumper II.1","$100 1.0m Thoroughbred Jumper II.1",1
14906,29128,636,"$500 1.20m Jumper II.1","$500 1.20m Jumper II.1",1
14906,29131,642,"$1000 1.30m Jumper II.1","$1000 1.30m Jumper II.1",1
14906,29134,645,"$1000 1.35m Jumper II.1","$1000 1.35m Jumper II.1",1
14906,29159,627,"1.00m Jumper II.1","1.00m Jumper II.1",1
14906,29161,630,"1.10m Jumper II.1","1.10m Jumper II.1",1
14906,29164,633,"1.15m Jumper II.1","1.15m Jumper II.1",1
14906,29166,686,"1.10m Young Jumper II","1.10m Young Jumper II",1
14906,29169,689,"$250 1.20m Young Jumper II.1","$250 1.20m Young Jumper II.1",1
14906,29172,692,"$250 1.30m Young Jumper II.1","$250 1.30m Young Jumper II.1",1
14906,29237,2201,"$4,000 4CYTE 1.40m CSI2* Two Phase 222.1.4.3","$4,000 4CYTE 1.40m CSI2* Two Phase 222.1.4.3",1
14906,29260,274,"USHJA Hunter 2'9","USHJA Hunter 2'9",1
14906,29264,270,"USHJA Hunter 2'9","USHJA Hunter 2'9",1
14906,29297,28,"$350 Green Hunter 3'3","$350 Green Hunter 3'3",1
14906,29301,32,"$150 Green Hunter 3'3","$150 Green Hunter 3'3",1
14906,29302,33,"$350 Green Hunter 3'0","$350 Green Hunter 3'0",1
14906,29306,37,"$150 Green Hunter 3'0","$150 Green Hunter 3'0",1
14906,29312,48,"$350 Young Hunter 2'9","$350 Young Hunter 2'9",1
14906,29316,52,"$150 Young Hunter 2'9","$150 Young Hunter 2'9",1
14906,29317,53,"$350 Young Hunter 3'","$350 Young Hunter 3'",1
14906,29321,57,"$150 Young Hunter 3' U/S","$150 Young Hunter 3' U/S",1
14906,29322,58,"$350 Young Hunter 3'3","$350 Young Hunter 3'3",1
14906,29326,62,"$150 Young Hunter 3'3","$150 Young Hunter 3'3",1
14906,29327,43,"$350 Performance Hunter 3'3","$350 Performance Hunter 3'3",1
14906,29331,47,"$150 Performance Hunter 3'3","$150 Performance Hunter 3'3",1
14906,29394,624,".95m Jumper II.1",".95m Jumper II.1",1
14906,29433,680,".90m Young Jumpers II",".90m Young Jumpers II",1
14906,29451,683,"1.0m Young Jumpers II","1.0m Young Jumpers II",1
14906,33493,13,"$400 High Perf 4'/Perf Hunter 3'6","$400 High Perf 4'/Perf Hunter 3'6",1
