record_id,show_no,rider,rider_display,tag,active
rec05p5hQBPfpTp9d,14906,Angela Gais,Angela,,1
rec07LS8TvgJcQ6tb,14906,Khloe Kerins,Khloe,,1
rec0FUCzNUyfQf4RT,14906,Sydney Shelby,Sydney,,1
rec0G59EnQRnDao5X,14906,Stella Kraemer,Stella,,1
rec0YrrKHcxLsnQPN,14906,Azhara Chin,Azhara,,1
rec0fQwv2Q9zJck2B,14906,Angela R. Calkins,Angela,,1
rec0kl9lhDCTw4bxG,14906,Liliana Nora Menesi,Liliana,,1
rec0lADouwqghMAAd,14906,Sabine Clark,Sabine,,1
rec0lXJIFvHi7Oj5p,14906,Wilton J. Porter,Wilton,,1
rec0wQobR70eQk97e,14906,Antonio J. Martinez,Antonio,,1
rec0y8f9IiGiQ5gl4,14906,Lauren Flesher,Lauren,,1
rec12lzOQKtI0Qkv5,14906,Sierra Montgomery,Sierra,,1
rec19k29zjaRFLbaR,14906,Wendy B. Rice,Wendy,,1
rec1AU4meQ1ffufH5,14906,Liza Guettler,Liza,,1
rec1Mofs0ZZD7KgnX,14906,Jose Montenegro,Jose,,1
rec1N6F0tZ2Z6a0dQ,14906,Lola Applebaum,Lola,,1
rec1SXsCfn8ggGYct,14906,Diego Gaspar De Goes,Diego,,1
rec1mLXyML08iCPpy,14906,Anne C. Hormel,Anne,,1
rec1rRr9PfJ44u4mU,14906,Marli Scott,Marli,,1
rec1s3YEvz6wRp9fD,14906,Daina Greene,Daina,,1
rec1xNTEGa3rUIdFf,14906,Stella Gavin,Stella,,1
rec22CzM2EIb7egZV,14906,Paige Jones,Paige,,1
rec24xHDnlr7Kj1lY,14906,Katherine Nunez,Katherine,,1
rec292OiOlkSoYFMx,14906,Farrah Whiddon,Farrah,,1
rec29Ue0IrWbswtu3,14906,Linden Nguyen,Linden,,1
rec2JzAL6u5FpzJlI,14906,Madison Rose,Madison,,1
rec2R7jOxeWvL99ey,14906,Avery Rush,Avery,,1
rec2VxNAPxqPlbevF,14906,Faith Allen,Faith,,1
rec2ZzSAukMmfPita,14906,Braeden Simons,Braeden,,1
rec2fj8BKdynfDg3D,14906,Evelyn Byron,Evelyn,,1
rec2gmXjnMZbtz4xW,14906,Jodie Camberg,Jodie,,1
rec2hEDYAViWnSl7c,14906,Dana Narayanappa,Dana,,1
rec2jDKTGlikuVdSU,14906,Gabriel Zampieri,Gabriel,,1
rec2kTgEMh08Ob6b3,14906,Kendall King,Kendall,,1
rec2kwFzPKreJnevI,14906,Kylie J. Geddes,Kylie,,1
rec2wAS2YrbXNmcut,14906,Jenna Wentroth,Jenna,,1
rec2xuBuBfqg5ZicM,14906,Kimberly Blake Roth,Kimberly,,1
rec306qqGUUlLMqAD,14906,Brooke Borges,Brooke,,1
rec32BAUTXsxaWP4w,14906,Violetta Bergonzoli,Violetta,,1
rec32DqxNbjRYwPa0,14906,Brooklyn Castellano,Brooklyn,,1
rec3BxcQLNZKJwRBi,14906,Maya Denis,Maya,,1
rec3JI6oeMRwsEyEb,14906,Olivia Johnson,Olivia,,1
rec3KyPkvRMIFK5KU,14906,Carson L. Ruff,Carson,,1
rec3PaVo95svCEkcx,14906,Sara Lopez,Sara,,1
rec3VweD3zhl5o4DM,14906,Samantha Delany,Samantha,,1
rec3ZhfWzrr4zMAGX,14906,Zoie Davis,Zoie,,1
rec3gQl0aV9rigp2y,14906,Patrick R. Wilcher,Patrick,,1
rec3nADl9IqqdRXd1,14906,Angela Swanson,Angela,,1
rec3pY7apXwfTmgAy,14906,Jasmine Walsh,Jasmine,,1
rec3tPmVZKASH2PqQ,14906,Skylah Watkins,Skylah,,1
rec45xeSyRTpyJ2zV,14906,Brooke Eddy,Brooke,,1
rec4DsivRRwV7UXmX,14906,Stacy A. Ryback,Stacy,,1
rec4GU1L6Oa9rB3UW,14906,Laura Gaither,Laura,,1
rec4QObpXAEMzGjYz,14906,Lyla Roberts,Lyla,,1
rec4TgJ6VN8jfdTXm,14906,Manuel G. Torres,Manuel,,1
rec4cEjMecSZDXqFx,14906,Pranadha Sheela,Pranadha,,1
rec4i0yhWAXBUxDNL,14906,Mason Plaumann,Mason,,1
rec4xmt1vJjON38j0,14906,Aaron Vale,Aaron,,1
rec4yo3C7hHrQlfdq,14906,Cooper Beisel,Cooper,,1
rec50cOyj9krr4nq5,14906,Timothy Maddrix,Timothy,,1
rec57kNAMePseOzKb,14906,Isabella Ruohomaki,Isabella,,1
rec5EhfTnbywcBHpc,14906,Kate Marisch,Kate,,1
rec5MlL9OQJ3jlSbG,14906,Heidi Paulsen,Heidi,,1
rec5PSI4vDRdbgcGL,14906,Sarah E. Turner,Sarah,,1
rec5RnC57daRX7Mi1,14906,Lia Screnci,Lia,,1
rec5ajwSmFOn8GV9H,14906,Megan O'Brien,Megan,,1
rec5eSBDWhpK0tlte,14906,Alyson Jones,Alyson,,1
rec5eeBOUY791C5bu,14906,Isaac Leffkowitz,Isaac,,1
rec5ifryJ1tg6JsgV,14906,Dominic Arnold,Dominic,,1
rec5kDHL5wHbYs33J,14906,Lincoln Russell,Lincoln,,1
rec5wVh7jpJmRorXu,14906,James Gentleman,James,,1
rec61N7IuP6cXdLkH,14906,Jared P. Petersen,Jared,,1
rec66M6JP65oUgxt7,14906,Katherina Sciuto,Katherina,,1
rec6706A0jhb96oOe,14906,Celso Ariani,Celso,,1
rec6O8cJ48p1djCBY,14906,Ana Cristina Rodriguez,Ana,,1
rec6PfdUq1V5Pn86W,14906,Rebecca A. Milliken,Rebecca,,1
rec6WJh8ugWLFk1a9,14906,Francesca Giarrusso,Francesca,,1
rec6aVGZIUskBZGZL,14906,Cindy Secret,Cindy,,1
rec6eqb0fBJcoRHZU,14906,Marcus Gruenthal,Marcus,,1
rec6qb1pnoFynbJWM,14906,Grace Harrison,Grace,,1
rec6wPiU3mn7pKqtV,14906,Maleah Lang Mcmahon,Maleah,,1
rec6woGEX9IGLSlUm,14906,Alexandra Goetze Bell,Alexandra,,1
rec6ysxUctaB5NfSJ,14906,Hailey Lay-Hak,Hailey,,1
rec7A4JPtP8rt44q1,14906,Esme Desautel,Esme,,1
rec7ELvs61kTO6o8h,14906,Bernadette Sobrino,Bernadette,,1
rec7JhqMK4DWc8LY5,14906,Addison Hall,Addison,,1
rec7QFk37tD1CriFs,14906,Jenny Walker,Jenny,,1
rec7QKqlsRrCcs4Rd,14906,Cynthia D Mesker,Cynthia,,1
rec7S7t2RbbauTtda,14906,Rebecca Warth,Rebecca,,1
rec7Ut45GWfXhOC1M,14906,Lucy Wexler,Lucy,,1
rec7XYSluLDsrEm1b,14906,Shannon Y. Clifford,Shannon,,1
rec7f7BAxJlquItEu,14906,Allison Wise,Allison,,1
rec7wgjXCOF4uxl6i,14906,Marlow Rickun,Marlow,,1
rec7zPNAjOrAi3nVJ,14906,Maja Mossberg,Maja,,1
rec80MabN4TywgT9f,14906,Marissa Creviston,Marissa,,1
rec8ChXFoOgj2B53g,14906,Stefano Baruzzo,Stefano,,1
rec8CvnauqvLMVUf0,14906,Ellie Zimmerman,Ellie,,1
rec8GL7h1CWWbSviG,14906,Grace Phan,Grace,,1
rec8KP4FWbKeaxKB3,14906,Tom Monaghan,Tom,,1
rec8UUBoADypKtGHQ,14906,Stephen Dicarlo,Stephen,,1
rec8eowQRZXV3oVxo,14906,Jennifer Phethean,Jennifer,,1
rec8mL4WnVntpQaTA,14906,Izabella Zourdos,Izabella,,1
rec90AY2oQyQzzoUN,14906,Amelia Tredinnick,Amelia,,1
rec91JoLPmojny7Ah,14906,Miro Frey,Miro,,1
rec974lTBQb8pAelY,14906,Leah Lang-Gluscic,Leah,,1
rec9AOBY6djC53osc,14906,Jessica Collins,Jessica,,1
rec9ElUH8g5rla1mh,14906,Rachel Zaluski,Rachel,,1
rec9QNDx2IegGtFnl,14906,Elizabeth C. de Golian,Elizabeth,,1
rec9WGfroIzNJgxYO,14906,Jamie M. Stryker,Jamie,,1
rec9bdGQgGu9zWiEQ,14906,Captain Brian Cournane,Captain,,1
rec9bvr48FkMESsHg,14906,Kalli Core,Kalli,,1
rec9hDnDABk2Jn63Z,14906,Athena Lekkas,Athena,,1
rec9sgXQpjPkE204z,14906,Matt Martin,Matt,,1
rec9wGvChkIEYr9ra,14906,Lilly Mack,Lilly,,1
recAATtzYsIZzhjnb,14906,Samantha Mccleerey,Samantha,,1
recAAhXIBGzsVMAOV,14906,Lola Bacardi,Lola,,1
recAIlcnxeRCGBqqF,14906,Lillian Hardman,Lillian,,1
recAMgqGRAz57OiAs,14906,Grace Lyons,Grace,,1
recAV58cJTpaxDTN6,14906,Elleana Bender,Elleana,,1
recAVN8QWh2A6nZOL,14906,Maddison Stephen,Maddison,,1
recAVWkAQVv9aBNJj,14906,Alejandra Ortiz Orozco,Alejandra,,1
recAe7S3iuE2LSdMM,14906,Mireya Godoy,Mireya,,1
recAgHM50DSJcxYoF,14906,Windsor Ryan,Windsor,,1
recAmZSREqpAqaQ5C,14906,David Cameron,David,,1
recAxawahZ8fxICUO,14906,Annie Ashton,Annie,,1
recB4QCufSOyEq6bx,14906,Jennifer Giovino,Jennifer,,1
