record_id,class_hide_key,mirror_class_hide_key,show_no,class_no,hide_text,active
rec1lNNrIaKR9JDQP,14907|class_no:29762,14907|class_no:29762,14907,29762,602 - .65m Jumper Open IV.1,1
rec59Ty7WIW0rywac,14907|class_no:29623,14907|class_no:29623,14907,29623,231 - $300 Adult Hunter 55+ (1st rnd Classic) 3',1
rec7GWFBv1m4M0Vz0,14907|class_no:29618,14907|class_no:29618,14907,29618,226 - $300 Adult Hunter 36-54(1st rnd Classic) 3',1
rec8QwmMWwtx1snkB,14907|class_no:33582,14907|class_no:33582,14907,33582,623 - .85m Jumper Junior/Amateur(B)II.2d,1
recCr9yGDmYOpU9Di,14907|class_no:29632,14907|class_no:29632,14907,29632,310 - Low Children's Hunter 15-17 2'6',1
recFKNL710c6Zzqxz,14907|class_no:33611,14907|class_no:33611,14907,33611,121 - Junior Hunter 3'3,1
recHpxOGxFlP8GDwf,14907|class_no:29766,14907|class_no:29766,14907,29766,901 - Short/Long Stirrup Hunter (1st rnd Classic)) 2',1
recIImJn99jTyzJyu,14907|class_no:29589,14907|class_no:29589,14907,29589,183 - Pony Hunter Lg 2'9,1
recIvFyUcwFAsZzFB,14907|class_no:29638,14907|class_no:29638,14907,29638,316 - Low Children's Pony Hunter 2',1
recSNfm0Cwkc0c3lO,14907|class_no:29773,14907|class_no:29773,14907,29773,623 - .85m Jumper Junior/Amateur II.2d,1
recSrhrtxPeMx01jb,14907|class_no:29655,14907|class_no:29655,14907,29655,331 - Low Adult Hunter 55+ (1st rnd Classic) 2'6',1
recUYTg22DKUTNfZL,14907|class_no:29633,14907|class_no:29633,14907,29633,311 - Low Children's Hunter 15-17(1st rnd Classic) 2'6,1
recVdJwCBAoMqCw7k,14907|class_no:29867,14907|class_no:29867,14907,29867,928 - Walk Trot Equitation Ground Rails,1
recYWga52JWKxNi5b,14907|class_no:33616,14907|class_no:33616,14907,33616,101 - Junior Hunter 3'6,1
recYzJV8dvsjZrFMU,14907|class_no:33606,14907|class_no:33606,14907,33606,91 - AO Hunter 3'3,1
receUHRbtMh8j3XiJ,14907|class_no:29649,14907|class_no:29649,14907,29649,326 - Low Adult Hunter 36-54 (1st rnd Classic) 2'6',1
recedL9VcI6KPDXqe,14907|class_no:29608,14907|class_no:29608,14907,29608,206 - Child Hunter 15-17 (1st rnd Classic) 3',1
recgPfS2Ndtedidrp,14907|class_no:33626,14907|class_no:33626,14907,33626,157 - Green Pony Hunter Lg 2'9,1
rechdUGOa3rye59uP,14907|class_no:29613,14907|class_no:29613,14907,29613,221 - $300 Adult Hunter 18-35 (1st rnd Classic) 3',1
rechfCc4hEympndHL,14907|class_no:29584,14907|class_no:29584,14907,29584,177 - Pony Hunter Med 2'6,1
rechsqUyGgVB9xXe9,14907|class_no:33554,14907|class_no:33554,14907,33554,917 - Crossrails 18,1
recjbhnZncHBrXblk,14907|class_no:29555,14907|class_no:29555,14907,29555,911 - Short/Long Stirrup Equitation 2',1
recpgAR62xXOzXnfl,14907|class_no:29603,14907|class_no:29603,14907,29603,201 - $300 Child Hunter 14/U (1st rnd Classic) 3',1
rectotJOzWedlfXTq,14907|class_no:33601,14907|class_no:33601,14907,33601,81 - AO Hunter 3'6,1
recug0A51cM6Ub7nF,14907|class_no:30049,14907|class_no:30049,14907,30049,306 - Low Children's Hunter 14 & U (1st rnd Classic) 2'6,1
recxdQb1hqntstFAy,14907|class_no:29643,14907|class_no:29643,14907,29643,321 - Low Adult Hunter 18-35 (1st rnd Classic) 2'6,1
recxqLEtsIP07M4og,14907|class_no:29578,14907|class_no:29578,14907,29578,171 - Pony Hunter Sm 2'3,1
