record_id,show_no,ring_no,ring_name,ring_display,priority,active
rec49a6FWHtrmZs4k,14907,691,INDOOR 4 - Lucy,INDOOR 4 - Lucy,,1
rec80qovSB0UvOZep,14907,742,STADIUM,STADIUM,,1
recLpYWCRxBEPGXpM,14907,687,INDOOR 6 - Brandon,INDOOR 6 - Brandon,,1
recUbrvF7wkfPdFYC,14907,741,ANNEX RING - Matt,ANNEX RING - Matt,,1
recX3iLPIxCumtIpR,14907,690,INDOOR 3,INDOOR 3,,1
recbIfaR987YLeOAi,14907,686,WEC GRAND ARENA,WEC GRAND ARENA,,1
recbtp3vCFG3g21jJ,14907,685,INDOOR 5,INDOOR 5,,1
reciXxIicTUg0rqJb,14907,689,INDOOR 2 - Tracey,INDOOR 2 - Tracey,,1
recs89ouqGsLmJXfj,14907,688,INDOOR 1 - Sarah,INDOOR 1 - Sarah,,1
recxErrvgJipUHWiQ,14907,751,HUNTER 2 - Jo,HUNTER 2 - Jo,,1
