record_id,show_no,trainer,trainer_display,tag,active
rec0NNSv8vJImVEWF,14907,Kaileigh Brandt,Kaileigh Brandt,,0
rec0OHl8PfuMKFsyt,14907,Laura Gaither,Laura Gaither,,0
rec0bJCjAgTlhNspi,14907,Justine Raven,Justine Raven,,0
rec0eBWOxYRez99HS,14907,Lia Screnci,Lia Screnci,,0
rec0mxYvqyiMsXHtK,14907,Tom Monaghan,Tom Monaghan,,0
rec0wCs5ZzmAW8kSL,14907,Morgan Taylor,Morgan Taylor,,0
rec17fXVv4zXio64e,14907,Todd D. Minikus,Todd D. Minikus,,0
rec18D1jOyn6X42k9,14907,Megan O'Brien,Megan O'Brien,,0
rec1FgPVFDZY2PmXP,14907,Carlos Aguirre,Carlos Aguirre,,0
rec1I0IvFKaYQa6K4,14907,Wendy J. Hechler,Wendy J. Hechler,,0
rec1WjmrNr6i9f42W,14907,Matthias Hollberg,Matthias Hollberg,,0
rec1sLb3hI5Aty4bi,14907,Candice King,Candice King,,0
rec1uM1UghdnlA4Hq,14907,Ryan Michael Genn,Ryan Michael Genn,,0
rec1yYXh3xuiGBsAr,14907,Maya Denis,Maya Denis,,0
rec1yq40bnU1koghd,14907,Kimberly Nadler-Russo,Kimberly Nadler-Russo,,0
rec24pSWnvy9FcJe9,14907,Luke Sassi,Luke Sassi,,0
rec2F4zRJZGDzG0M2,14907,Daniela Roy,Daniela Roy,,0
rec2XNYc72zstptO7,14907,Jennifer Phethean,Jennifer Phethean,,0
rec2q0QwewZOAeofV,14907,Juan J. Bancalari,Juan J. Bancalari,,0
rec3S9KikkQrKgX8L,14907,Anne L. Bingler,Anne L. Bingler,,0
rec3UdGAtomDxEozr,14907,Amanda Flint,Amanda Flint,,0
rec3YXaHMBB02whyu,14907,Vago,Vago,,0
rec3YjZUNtuqDJ0nC,14907,Jacqueline Steffens Daly,Jacqueline Steffens Daly,,0
rec3Zk0aiDpx2KX0O,14907,Jenna P. Friedman-Lopez,Jenna P. Friedman-Lopez,,0
rec456G3R5wbsgOk8,14907,Rebecca Warth,Rebecca Warth,,0
rec4DXi4PILWoXlnx,14907,Priscilla Broger,Priscilla Broger,,0
rec4KAl96j0uH9if9,14907,Marcus Gruenthal,Marcus Gruenthal,,0
rec52TGSBsR6kN4qH,14907,Kelly Saporito,Kelly Saporito,,0
rec5Ut33CL5koblpZ,14907,Jane C. Ehrhart,Jane C. Ehrhart,,0
rec5VNiNYnXVAnanj,14907,Raishun Burch,Raishun Burch,,0
