show_no,focus_day,ring_display,display_time,class_number,class,entry_no,entry_order,go_time,horse_display,rider_display,trainer_display,ring_no,ring_day_no,class_no
14906,2026-06-10,GRAND ,1000A,2202,"$32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",138,16,,Cardozo,Tanner,CWF,670,3860,28941
14906,2026-06-10,GRAND ,1145A,645,$1000 1.35m Jumper II.1,1047,26,,Snoop,Tanner,CWF,670,3860,29134
14906,2026-06-10,GRAND ,1145A,645,$1000 1.35m Jumper II.1,1035,53,,Doug,Grace,CWF,670,3860,29134
14906,2026-06-10,GRAND ,1145A,645,$1000 1.35m Jumper II.1,1044,57,,Peri,Elisabeth,CWF,670,3860,29134
14906,2026-06-10,GRAND ,1145A,645,$1000 1.35m Jumper II.1,1038,59,,Bee,Tanner,CWF,670,3860,29134
14906,2026-06-10,GRAND ,1145A,645,$1000 1.35m Jumper II.1,1037,66,,Insider,Victoria,CWF,670,3860,29134
14906,2026-06-10,GRAND ,245P,692,$250 1.30m Young Jumper II.1,1296,19,,Calou,Tanner,CWF,670,3860,29172
14906,2026-06-10,INDR_1,930A,245,USHJA Hunter 3'3,1031,1,,Hurricane,Carsyn,CWF,675,3889,29071
14906,2026-06-10,INDR_1,930A,246,USHJA Hunter 3'3,1031,1,,Hurricane,Carsyn,CWF,675,3889,29072
14906,2026-06-10,INDR_1,930A,245,USHJA Hunter 3'3,1183,2,,Munster,Naomi,CWF,675,3889,29071
14906,2026-06-10,INDR_1,930A,246,USHJA Hunter 3'3,1183,2,,Munster,Naomi,CWF,675,3889,29072
14906,2026-06-10,INDR_2,800A,275,USHJA Hunter 3',1041,1,,Elliot,Tanner,CWF,676,3895,29066
14906,2026-06-10,INDR_2,800A,276,USHJA Hunter 3',1041,1,,Elliot,Tanner,CWF,676,3895,29067
14906,2026-06-10,INDR_2,1030A,270,USHJA Hunter 2'9,1049,1,,Pedro,Carsyn,CWF,676,3895,29264
14906,2026-06-10,INDR_2,1030A,271,USHJA Hunter 2'9,1049,1,,Pedro,Carsyn,CWF,676,3895,29263
14906,2026-06-10,INDR_4,830A,266,USHJA Hunter 2'6,2668,15,,Curtis,Josephine,CWF,678,3907,29062
14906,2026-06-10,INDR_4,830A,265,USHJA Hunter 2'6,2668,16,,Curtis,Josephine,CWF,678,3907,29061
14906,2026-06-10,INDR_4,1215P,260,USHJA Hunter 2'3,1027,1,,Knox,Lainey,CWF,678,3907,29056
14906,2026-06-10,INDR_4,1215P,261,USHJA Hunter 2'3,1027,1,,Knox,Jessica,CWF,678,3907,29057
14906,2026-06-10,INDR_4,1215P,260,USHJA Hunter 2'3,1029,2,,Paisley,Carsyn,CWF,678,3907,29056
14906,2026-06-10,INDR_4,1215P,261,USHJA Hunter 2'3,1029,2,,Paisley,Kate,CWF,678,3907,29057
14906,2026-06-10,INDR_4,1215P,261,USHJA Hunter 2'3,2390,9,,Poptart,Jessica,CWF,678,3907,29057
14906,2026-06-10,INDR_4,1215P,260,USHJA Hunter 2'3,2390,10,,Poptart,Lainey,CWF,678,3907,29056
14906,2026-06-10,INDR_5,800A,624,.95m Jumper II.1,1297,4,,LaLa,Christina,CWF,683,4182,29394
14906,2026-06-10,INDR_5,800A,624,.95m Jumper II.1,1591,10,,Coffee,Iliana,CWF,683,4182,29394
14906,2026-06-10,INDR_5,930A,627,1.00m Jumper II.1,1043,2,,Mark,Tanner,CWF,683,4182,29159
14906,2026-06-10,INDR_5,930A,627,1.00m Jumper II.1,2667,38,,Calypso,Josephine,CWF,683,4182,29159
14906,2026-06-10,INDR_5,1145P,630,1.10m Jumper II.1,2389,18,,Fan Fan,Tanner,CWF,683,4182,29161
14906,2026-06-10,INDR_6,730A,633,1.15m Jumper II.1,1025,1,,Dottie,Tanner,CWF,684,4174,29164
14906,2026-06-10,INDR_6,730A,633,1.15m Jumper II.1,1042,2,,Maiki,Tanner,CWF,684,4174,29164
14906,2026-06-10,INDR_6,730A,633,1.15m Jumper II.1,1045,3,,Q,Tanner,CWF,684,4174,29164
14906,2026-06-10,INDR_6,1000A,636,$500 1.20m Jumper II.1,1025,1,,Dottie,Carsyn,CWF,684,4174,29128
14906,2026-06-10,INDR_6,1000A,636,$500 1.20m Jumper II.1,1035,2,,Doug,Tanner,CWF,684,4174,29128
14906,2026-06-10,INDR_6,1000A,636,$500 1.20m Jumper II.1,1039,3,,King,Tanner,CWF,684,4174,29128
14906,2026-06-10,INDR_6,100P,642,$1000 1.30m Jumper II.1,1035,1,,Doug,Grace,CWF,684,4174,29131
