show_no,focus_day,show_title,show_focus_date,ring_display,ring_no,ring_day_no,class_start_time,display_time,class_number,class_no,class,entry_count
14906,2026-06-10,WEC Ocala Summer Series 1 CSI2*,2026-06-10,GRAND ,670,3860,08:00:00,800A,2201,29237,"$4,000 4CYTE 1.40m CSI2* Two Phase 222.1.4.3",29
14906,2026-06-10,WEC Ocala Summer Series 1 CSI2*,2026-06-10,GRAND ,670,3860,10:00:00,1000A,2202,28941,"$32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",27
14906,2026-06-10,WEC Ocala Summer Series 1 CSI2*,2026-06-10,GRAND ,670,3860,11:45:00,1145A,645,29134,$1000 1.35m Jumper II.1,71
14906,2026-06-10,WEC Ocala Summer Series 1 CSI2*,2026-06-10,GRAND ,670,3860,14:45:00,245P,692,29172,$250 1.30m Young Jumper II.1,28
14906,2026-06-10,WEC Ocala Summer Series 1 CSI2*,2026-06-10,INDR_1,675,3889,08:30:00,830A,13,33493,$400 High Perf 4'/Perf Hunter 3'6,6
14906,2026-06-10,WEC Ocala Summer Series 1 CSI2*,2026-06-10,INDR_1,675,3889,09:30:00,930A,28,29297,$350 Green Hunter 3'3,8
14906,2026-06-10,WEC Ocala Summer Series 1 CSI2*,2026-06-10,INDR_1,675,3889,09:30:00,930A,245,29071,USHJA Hunter 3'3,13
14906,2026-06-10,WEC Ocala Summer Series 1 CSI2*,2026-06-10,INDR_1,675,3889,12:00:00,1200P,32,29301,$150 Green Hunter 3'3,8
14906,2026-06-10,WEC Ocala Summer Series 1 CSI2*,2026-06-10,INDR_1,675,3889,12:30:00,1230P,43,29327,$350 Performance Hunter 3'3,13
14906,2026-06-10,WEC Ocala Summer Series 1 CSI2*,2026-06-10,INDR_1,675,3889,,check time,47,29331,$150 Performance Hunter 3'3,5
14906,2026-06-10,WEC Ocala Summer Series 1 CSI2*,2026-06-10,INDR_2,676,3895,08:00:00,800A,33,29302,$350 Green Hunter 3'0,8
14906,2026-06-10,WEC Ocala Summer Series 1 CSI2*,2026-06-10,INDR_2,676,3895,08:00:00,800A,275,29066,USHJA Hunter 3',11
14906,2026-06-10,WEC Ocala Summer Series 1 CSI2*,2026-06-10,INDR_2,676,3895,10:00:00,1000A,37,29306,$150 Green Hunter 3'0,8
14906,2026-06-10,WEC Ocala Summer Series 1 CSI2*,2026-06-10,INDR_2,676,3895,10:30:00,1030A,270,29264,USHJA Hunter 2'9,21
14906,2026-06-10,WEC Ocala Summer Series 1 CSI2*,2026-06-10,INDR_2,676,3895,12:45:00,1245P,274,29260,USHJA Hunter 2'9,12
14906,2026-06-10,WEC Ocala Summer Series 1 CSI2*,2026-06-10,INDR_2,676,3895,13:15:00,115P,48,29312,$350 Young Hunter 2'9,4
14906,2026-06-10,WEC Ocala Summer Series 1 CSI2*,2026-06-10,INDR_2,676,3895,13:45:00,145P,52,29316,$150 Young Hunter 2'9,4
14906,2026-06-10,WEC Ocala Summer Series 1 CSI2*,2026-06-10,INDR_2,676,3895,14:00:00,200P,53,29317,$350 Young Hunter 3',4
14906,2026-06-10,WEC Ocala Summer Series 1 CSI2*,2026-06-10,INDR_2,676,3895,14:30:00,230P,57,29321,$150 Young Hunter 3' U/S,4
14906,2026-06-10,WEC Ocala Summer Series 1 CSI2*,2026-06-10,INDR_2,676,3895,14:45:00,245P,58,29322,$350 Young Hunter 3'3,3
14906,2026-06-10,WEC Ocala Summer Series 1 CSI2*,2026-06-10,INDR_2,676,3895,,check time,62,29326,$150 Young Hunter 3'3,3
14906,2026-06-10,WEC Ocala Summer Series 1 CSI2*,2026-06-10,INDR_4,678,3907,08:30:00,830A,265,29061,USHJA Hunter 2'6,21
14906,2026-06-10,WEC Ocala Summer Series 1 CSI2*,2026-06-10,INDR_4,678,3907,08:30:00,830A,280,29046,Baby Green Hunter 2'6,7
14906,2026-06-10,WEC Ocala Summer Series 1 CSI2*,2026-06-10,INDR_4,678,3907,11:45:00,1145A,269,29065,USHJA Hunter 2'6,11
14906,2026-06-10,WEC Ocala Summer Series 1 CSI2*,2026-06-10,INDR_4,678,3907,12:15:00,1215P,260,29056,USHJA Hunter 2'3,12
14906,2026-06-10,WEC Ocala Summer Series 1 CSI2*,2026-06-10,INDR_5,683,4182,08:00:00,800A,624,29394,.95m Jumper II.1,25
14906,2026-06-10,WEC Ocala Summer Series 1 CSI2*,2026-06-10,INDR_5,683,4182,09:30:00,930A,627,29159,1.00m Jumper II.1,47
14906,2026-06-10,WEC Ocala Summer Series 1 CSI2*,2026-06-10,INDR_5,683,4182,09:30:00,930A,695,29125,$100 1.0m Thoroughbred Jumper II.1,2
14906,2026-06-10,WEC Ocala Summer Series 1 CSI2*,2026-06-10,INDR_5,683,4182,13:30:00,130P,683,29451,1.0m Young Jumpers II,11
