cluster_id,reason,rank,show_no,focus_day,ring_day_no,ring_no,ring_name,display_time,class_order_min,class_order_values,class_no,class_number,class_name,entry_count,active_entries,active_horses,hide,conflict,class_hide_linked
14906|2026-06-14|3911|678|cluster_1,same_ring_day_time,1,14906,2026-06-14,3911,678,INDOOR 4 - Lucy,7:30A,1,1,29038,332,Low Adult Hunter 55+ 2'6,5,0,,,,
14906|2026-06-14|3911|678|cluster_1,same_ring_day_time,2,14906,2026-06-14,3911,678,INDOOR 4 - Lucy,7:30A,2,2,29039,333,Low Adult Hunter 55+ 2'6,5,0,,1,,
14906|2026-06-14|3911|678|cluster_1,same_ring_day_time,3,14906,2026-06-14,3911,678,INDOOR 4 - Lucy,7:30A,3,3,29032,327,Low Adult Hunter 36-54 2'6,9,0,,1,,
14906|2026-06-14|3911|678|cluster_1,same_ring_day_time,4,14906,2026-06-14,3911,678,INDOOR 4 - Lucy,7:30A,4,4,29034,328,Low Adult Hunter 36-54 2'6,8,0,,1,,
14906|2026-06-14|3911|678|cluster_1,same_ring_day_time,5,14906,2026-06-14,3911,678,INDOOR 4 - Lucy,7:30A,5,5,29200,428,Low Adult Hunter Classic 36+ 2'6',9,0,,1,,
14906|2026-06-14|3911|678|cluster_2,same_ring_day_time,1,14906,2026-06-14,3911,678,INDOOR 4 - Lucy,9:30A,7,7,29027,322,Low Adult Hunter 18-35 2'6,10,0,,,,
14906|2026-06-14|3911|678|cluster_2,same_ring_day_time,2,14906,2026-06-14,3911,678,INDOOR 4 - Lucy,9:30A,8,8,29028,323,Low Adult Hunter 18-35 2'6,9,0,,1,,
14906|2026-06-14|3911|678|cluster_2,same_ring_day_time,3,14906,2026-06-14,3911,678,INDOOR 4 - Lucy,9:30A,9,9,29199,427,Low Adult Hunter Classic 18-35 2'6',7,0,,1,,
14906|2026-06-14|3911|678|cluster_3,same_ring_day_time,1,14906,2026-06-14,3911,678,INDOOR 4 - Lucy,11:30A,12,12,33545,307,Low Children's Hunter 2'/6',12,0,,,,
14906|2026-06-14|3911|678|cluster_3,same_ring_day_time,2,14906,2026-06-14,3911,678,INDOOR 4 - Lucy,11:30A,13,13,33546,308,Low Children's Hunter 2'/6',11,0,,1,,
14906|2026-06-14|3911|678|cluster_3,same_ring_day_time,3,14906,2026-06-14,3911,678,INDOOR 4 - Lucy,11:30A,14,14,33454,425,Low Children's Hunter Classic 2'6,11,0,,1,,
14906|2026-06-14|3911|678|cluster_4,same_ring_day_time,1,14906,2026-06-14,3911,678,INDOOR 4 - Lucy,1:15P,16,16,28956,164,Green Pony Hunter Lg 2'9,4,0,,,,
14906|2026-06-14|3911|678|cluster_4,same_ring_day_time,2,14906,2026-06-14,3911,678,INDOOR 4 - Lucy,1:15P,17,17,28957,165,Green Pony Hunter Lg 2'9,4,0,,1,,
14906|2026-06-14|3911|678|cluster_4,same_ring_day_time,3,14906,2026-06-14,3911,678,INDOOR 4 - Lucy,1:15P,18,18,28972,184,Pony Hunter Lg 2'9,5,0,,1,,
14906|2026-06-14|3911|678|cluster_4,same_ring_day_time,4,14906,2026-06-14,3911,678,INDOOR 4 - Lucy,1:15P,19,19,28973,185,Pony Hunter Lg 2'9,5,0,,1,,
14906|2026-06-14|3911|678|cluster_4,same_ring_day_time,5,14906,2026-06-14,3911,678,INDOOR 4 - Lucy,1:15P,24,24,29463,419,Green Pony Hunter Classic 2'9,8,0,,,1,
14906|2026-06-14|3911|678|cluster_4,same_ring_day_time,6,14906,2026-06-14,3911,678,INDOOR 4 - Lucy,1:15P,25,25,29431,418,Pony Hunter Classic 2'3/2'6,10,1,Knox,,1,
14906|2026-06-14|3911|678|cluster_5,same_ring_day_time,1,14906,2026-06-14,3911,678,INDOOR 4 - Lucy,2:30P,20,20,33538,152,Green Pony Hunter Med/Sm 2'6,4,1,Knox,,,
14906|2026-06-14|3911|678|cluster_5,same_ring_day_time,2,14906,2026-06-14,3911,678,INDOOR 4 - Lucy,2:30P,21,21,33539,153,Green Pony Hunter Med/Sm 2'6,4,1,Knox,1,,
14906|2026-06-14|3911|678|cluster_5,same_ring_day_time,3,14906,2026-06-14,3911,678,INDOOR 4 - Lucy,2:30P,22,22,33550,172,Pony Hunter Sm/Med 2'3,6,1,Knox,1,,
14906|2026-06-14|3911|678|cluster_5,same_ring_day_time,4,14906,2026-06-14,3911,678,INDOOR 4 - Lucy,2:30P,23,23,33551,173,Pony Hunter Sm/Med 2'3,6,1,Knox,1,,
14906|2026-06-14|3893|675|cluster_6,same_ring_day_time,1,14906,2026-06-14,3893,675,INDOOR 1 - Sarah,7:30A,1,1,33520,84,AO Hunter 3'6,5,0,,,,
14906|2026-06-14|3893|675|cluster_6,same_ring_day_time,2,14906,2026-06-14,3893,675,INDOOR 1 - Sarah,7:30A,10,10,33558,416,Amateur Owner Hunter Classic 3'6,11,0,,1,1,
14906|2026-06-14|3893|675|cluster_7,same_ring_day_time,1,14906,2026-06-14,3893,675,INDOOR 1 - Sarah,7:45A,2,2,33518,82,AO Hunter 3'6,5,0,,,,
14906|2026-06-14|3893|675|cluster_7,same_ring_day_time,2,14906,2026-06-14,3893,675,INDOOR 1 - Sarah,7:45A,3,3,33519,83,AO Hunter 3'6,5,0,,1,,
