record_id,class_oog_key,mirror_class_oog_key,show_no,focus_day,ring_no,ring,ring_day_no,class_no,class_label,entry_order,entry_no,horse,horse_display,rider,trainer,source,update_schedule_staging,class_start_times,lock_from_update_schedule_staging
recUJToqu5syQHz9C,29776|2667,14907|4224|685|29776|2667,14907,2026-06-17,685,INDOOR 5,4224,29776,630) 1.10m Jumper II.1,17,2667,Calypso,Calypso,Tanner Korotkin,Alan Korotkin,class_oog.php,recP9oVXUDS2eAmyS,recRm1SaC7U7Odgby,true
recthPDkm7vCweHfr,30012|2389,14907|4224|685|30012|2389,14907,2026-06-17,685,INDOOR 5,4224,30012,624) .95m Jumper II.1,14,2389,Fanfan Boy,Fan,Sydney Matalon,Alan Korotkin,class_oog.php,recO9CW9FR6D75kYl,recaXuJFnFKt71J60,true
recBg36rmtDaZbYNp,30012|2667,14907|4224|685|30012|2667,14907,2026-06-17,685,INDOOR 5,4224,30012,624) .95m Jumper II.1,17,2667,Calypso,Calypso,Josephine Demmo,Alan Korotkin,class_oog.php,recO9CW9FR6D75kYl,recaXuJFnFKt71J60,true
recYhTwmPBVJxyTXy,29754|1038,14907|3936|686|29754|1038,14907,2026-06-17,686,WEC GRAND ARENA,3936,29754,645) $1000 1.35m Jumper II.1,14,1038,Kindly,Bee,Carsyn Korotkin,Alan Korotkin,class_oog.php,recvfqbyymIQa6kuI,recYGZDPGF4a1q3pB,true
recPvSWAMjSIFUJp6,29855|227,14907|3936|686|29855|227,14907,2026-06-17,686,WEC GRAND ARENA,3936,29855,"3301) $5,000 Coca-Cola1.40m CSI3* Two Phase 222.1.4.3",1,227,Sandenal,Snoop,Tanner Korotkin,Alan Korotkin,class_oog.php,reciUkVHWVFgDzrar,recxwDZHxSZXCEiQO,true
recNu0WzuLJ0Iq6FQ,29855|226,14907|3936|686|29855|226,14907,2026-06-17,686,WEC GRAND ARENA,3936,29855,"3301) $5,000 Coca-Cola1.40m CSI3* Two Phase 222.1.4.3",14,226,Kinmar Quality Hero,Kinmar,Tanner Korotkin,Alan Korotkin,class_oog.php,reciUkVHWVFgDzrar,recxwDZHxSZXCEiQO,true
rec4w9Z7qnRKWAlnz,29748|1042,14907|4219|687|29748|1042,14907,2026-06-17,687,INDOOR 6,4219,29748,636) $500 1.20m Jumper II.1,1,1042,Maiki,Maiki,Tanner Korotkin,Alan Korotkin,class_oog.php,recreUBiFC2MZmR9i,recv5tM8WRsJXD1XE,true
recf6VLGX7W5V6Z3X,29748|1045,14907|4219|687|29748|1045,14907,2026-06-17,687,INDOOR 6,4219,29748,636) $500 1.20m Jumper II.1,2,1045,Qastaar Van't Heike,Q,Tanner Korotkin,Alan Korotkin,class_oog.php,recreUBiFC2MZmR9i,recv5tM8WRsJXD1XE,true
rec1xWZ7ox81vAZL6,29784|1296,14907|4219|687|29784|1296,14907,2026-06-17,687,INDOOR 6,4219,29784,689) $250 1.20m Young Jumper II.1,5,1296,Calou Us,Calou,Tanner Korotkin,Alan Korotkin,class_oog.php,recd43jMYOrlkRcvJ,reclW8bG9Gz0PIkst,true
recIMRgrABNRlSpY8,33348|1041,14907|4232|742|33348|1041,14907,2026-06-17,742,STADIUM,4232,33348,336) WEC Hunter 3',1,1041,Luminosity Class,Elliot,Tanner Korotkin,Alan Korotkin,class_oog.php,rec7OR4MTmy0UlsVD,rec1QO83OvghMchxN,true
recFtq0YR5RqxuhTT,33348|1048,14907|4232|742|33348|1048,14907,2026-06-17,742,STADIUM,4232,33348,336) WEC Hunter 3',2,1048,Specialist,Tommy,Kate Marisch,Alan Korotkin,class_oog.php,rec7OR4MTmy0UlsVD,rec1QO83OvghMchxN,true
recRKkdzg8HuuYPln,33348|1049,14907|4232|742|33348|1049,14907,2026-06-17,742,STADIUM,4232,33348,336) WEC Hunter 3',3,1049,Vote For Pedro,Pedro,Aria Waxman,Alan Korotkin,class_oog.php,rec7OR4MTmy0UlsVD,rec1QO83OvghMchxN,true
reckfPFMP2GLv639f,33348|2668,14907|4232|742|33348|2668,14907,2026-06-17,742,STADIUM,4232,33348,336) WEC Hunter 3',33,2668,Curtis 89,Curtis,Josephine Demmo,Alan Korotkin,class_oog.php,rec7OR4MTmy0UlsVD,rec1QO83OvghMchxN,true
