record_id,class_start_key,show_no,focus_day,ring_no,ring_day_no,class_no,display_time,class_start_time,class_number,class_name,entry_count,status,source,update_schedule_staging,class_oog
recm3NLAbru6alQdg,14907|4224|685|61008|30070,14907,2026-06-17,685,4224,30070,1:00P,13:00:00,683,1.0m Young Jumpers II,20,upcoming,update_schedule_staging.full_lock,recveJGLkk9RjGHh7,
recRm1SaC7U7Odgby,14907|4224|685|61006|29776,14907,2026-06-17,685,4224,29776,11:45A,11:45:00,630,1.10m Jumper  II.1,26,upcoming,update_schedule_staging.full_lock,recP9oVXUDS2eAmyS,recUJToqu5syQHz9C
recwpcLPhQIpogkZ7,14907|4224|685|61007|30052,14907,2026-06-17,685,4224,30052,2:00P,14:00:00,680,.90m Young Jumpers II,9,upcoming,update_schedule_staging.full_lock,reci3odRyUkDjLulD,
recaXuJFnFKt71J60,14907|4224|685|61003|30012,14907,2026-06-17,685,4224,30012,8:00A,08:00:00,624,.95m Jumper II.1,23,upcoming,update_schedule_staging.full_lock,recO9CW9FR6D75kYl,recBg36rmtDaZbYNp; recthPDkm7vCweHfr
recPi4cVA5FdBbBxF,14907|4224|685|61004|29774,14907,2026-06-17,685,4224,29774,9:45A,09:45:00,627,1.00m Jumper II.1,31,upcoming,update_schedule_staging.full_lock,recjxDAEQi3YtW4qB,
recYGZDPGF4a1q3pB,14907|3936|686|60950|29754,14907,2026-06-17,686,3936,29754,1:00P,13:00:00,645,$1000 1.35m Jumper II.1,66,upcoming,update_schedule_staging.full_lock,recvfqbyymIQa6kuI,recYhTwmPBVJxyTXy
rec9ee4wnPmLuIz6k,14907|3936|686|60949|33311,14907,2026-06-17,686,3936,33311,11:30A,11:30:00,1101,"$3,000 Coca-Cola 1.40m CSIU25 Two Phase 222.1.4.3",21,upcoming,update_schedule_staging.full_lock,recLsogDnoaD6LfYD,
recxwDZHxSZXCEiQO,14907|3936|686|60947|29855,14907,2026-06-17,686,3936,29855,8:00A,08:00:00,3301,"$5,000 Coca-Cola1.40m CSI3* Two Phase 222.1.4.3",23,upcoming,update_schedule_staging.full_lock,reciUkVHWVFgDzrar,recNu0WzuLJ0Iq6FQ; recPvSWAMjSIFUJp6
recT0N41imZxvBXZ2,14907|3936|686|60948|29559,14907,2026-06-17,686,3936,29559,9:45A,09:45:00,3302,"$32,000 Coca-Cola  1.45m CSI3* Speed 220.2.1.1",26,upcoming,update_schedule_staging.full_lock,recERmIcmVMi480ad,
reclW8bG9Gz0PIkst,14907|4219|687|60975|29784,14907,2026-06-17,687,4219,29784,1:45P,13:45:00,689,$250 1.20m Young Jumper  II.1,25,upcoming,update_schedule_staging.full_lock,recd43jMYOrlkRcvJ,rec1xWZ7ox81vAZL6
recHOxrgW7ZWDuCaf,14907|4219|687|60976|29751,14907,2026-06-17,687,4219,29751,12:15P,12:15:00,642,$1000 1.30m Jumper II.1,25,upcoming,update_schedule_staging.full_lock,recHsu95Zb5ro0M9X,
recPN4qnPokQMsAbA,14907|4219|687|60977|29787,14907,2026-06-17,687,4219,29787,3:00P,15:00:00,692,$250 1.30m Young Jumper   II.1,12,upcoming,update_schedule_staging.full_lock,recxsGXaqIoHHxbMf,
recC2gsRwewdiUZa4,14907|4219|687|60978|29781,14907,2026-06-17,687,4219,29781,3:45P,15:45:00,686,1.10m Young Jumper  II,20,upcoming,update_schedule_staging.full_lock,recY2iDxTBV2qsUYP,
recDoSBb4DM5KqgKU,14907|4219|687|60973|29779,14907,2026-06-17,687,4219,29779,7:30A,07:30:00,633,1.15m Jumper II.1,41,upcoming,update_schedule_staging.full_lock,recHjufb3p5ruel7a,
recv5tM8WRsJXD1XE,14907|4219|687|60974|29748,14907,2026-06-17,687,4219,29748,9:45A,09:45:00,636,$500 1.20m Jumper II.1,46,upcoming,update_schedule_staging.full_lock,recreUBiFC2MZmR9i,rec4w9Z7qnRKWAlnz; recf6VLGX7W5V6Z3X
recaR67C6KX5jWSqM,14907|3942|688|59266|29690,14907,2026-06-17,688,3942,29690,11:00A,11:00:00,245,USHJA Hunter 3'3,5,upcoming,update_schedule_staging.full_lock,recfHcZEh4ZLqA1QZ,
recq6WyjJlQhyUrJr,14907|3942|688|59267|29691,14907,2026-06-17,688,3942,29691,11:00A,11:00:00,246,USHJA Hunter 3'3,5,upcoming,update_schedule_staging.full_lock,recPyMhA8KV8ZTfk1,
recTVV7AIXpFq6AnL,14907|3942|688|59268|29914,14907,2026-06-17,688,3942,29914,11:00A,11:00:00,28,$350 Green Hunter 3'3,2,upcoming,update_schedule_staging.full_lock,recU0Eiatz0k27CQ1,
recjfLVW9rjCEUDd9,14907|3942|688|62979|29909,14907,2026-06-17,688,3942,29909,9:00A,09:00:00,23,$600 Green Hunter 3'6,3,upcoming,update_schedule_staging.full_lock,rec2BzDNSg4WDQHgz,
recwyva0qPIEp8GzR,14907|3942|688|62981|29913,14907,2026-06-17,688,3942,29913,9:30A,09:30:00,27,$200 Green Hunter 3'6,3,upcoming,update_schedule_staging.full_lock,recBX9xbONzyDrolx,
rec09MhvBBVFgsMON,14907|3948|689|61077|29878,14907,2026-06-17,689,3948,29878,1:15P,13:15:00,274,USHJA Hunter 2'9,8,upcoming,update_schedule_staging.full_lock,recjZI0rhly5sHxcT,
reczFc7QMYZR4ToPl,14907|3948|689|61053|29924,14907,2026-06-17,689,3948,29924,11:45A,11:45:00,37,$200 Green Hunter 3'0,14,upcoming,update_schedule_staging.full_lock,reczcmooFTMVEtyx8,
recK1zHm5zMA8XGyj,14907|3948|689|61076|29881,14907,2026-06-17,689,3948,29881,12:15P,12:15:00,271,USHJA Hunter 2'9,7,upcoming,update_schedule_staging.full_lock,recI3RpiCRDuYHCWz,
recqNpDn64fNIm2cV,14907|3948|689|61057|29930,14907,2026-06-17,689,3948,29930,2:00P,14:00:00,48,$350 Young Hunter 2'9,7,upcoming,update_schedule_staging.full_lock,recO0syHYNAZKGykW,
recZ8uhkfAtDf8auw,14907|3948|689|61059|29934,14907,2026-06-17,689,3948,29934,2:45P,14:45:00,52,$150 Young Hunter 2'9,7,upcoming,update_schedule_staging.full_lock,rec3ZDEoJUW4HN32r,
