display_time,class_no,class_number,class_name,ring_no,ring_day_no,entry_count,status,update_schedule_staging,class_oog,record_id
1:00P,30070,683,1.0m Young Jumpers II,685,4224,20,upcoming,recveJGLkk9RjGHh7,,recm3NLAbru6alQdg
11:45A,29776,630,1.10m Jumper  II.1,685,4224,26,upcoming,recP9oVXUDS2eAmyS,recUJToqu5syQHz9C,recRm1SaC7U7Odgby
2:00P,30052,680,.90m Young Jumpers II,685,4224,9,upcoming,reci3odRyUkDjLulD,,recwpcLPhQIpogkZ7
8:00A,30012,624,.95m Jumper II.1,685,4224,23,upcoming,recO9CW9FR6D75kYl,recBg36rmtDaZbYNp; recthPDkm7vCweHfr,recaXuJFnFKt71J60
9:45A,29774,627,1.00m Jumper II.1,685,4224,31,upcoming,recjxDAEQi3YtW4qB,,recPi4cVA5FdBbBxF
1:00P,29754,645,$1000 1.35m Jumper II.1,686,3936,66,upcoming,recvfqbyymIQa6kuI,recYhTwmPBVJxyTXy,recYGZDPGF4a1q3pB
11:30A,33311,1101,"$3,000 Coca-Cola 1.40m CSIU25 Two Phase 222.1.4.3",686,3936,21,upcoming,recLsogDnoaD6LfYD,,rec9ee4wnPmLuIz6k
8:00A,29855,3301,"$5,000 Coca-Cola1.40m CSI3* Two Phase 222.1.4.3",686,3936,23,upcoming,reciUkVHWVFgDzrar,recNu0WzuLJ0Iq6FQ; recPvSWAMjSIFUJp6,recxwDZHxSZXCEiQO
9:45A,29559,3302,"$32,000 Coca-Cola  1.45m CSI3* Speed 220.2.1.1",686,3936,26,upcoming,recERmIcmVMi480ad,,recT0N41imZxvBXZ2
1:45P,29784,689,$250 1.20m Young Jumper  II.1,687,4219,25,upcoming,recd43jMYOrlkRcvJ,rec1xWZ7ox81vAZL6,reclW8bG9Gz0PIkst
12:15P,29751,642,$1000 1.30m Jumper II.1,687,4219,25,upcoming,recHsu95Zb5ro0M9X,,recHOxrgW7ZWDuCaf
3:00P,29787,692,$250 1.30m Young Jumper   II.1,687,4219,12,upcoming,recxsGXaqIoHHxbMf,,recPN4qnPokQMsAbA
3:45P,29781,686,1.10m Young Jumper  II,687,4219,20,upcoming,recY2iDxTBV2qsUYP,,recC2gsRwewdiUZa4
7:30A,29779,633,1.15m Jumper II.1,687,4219,41,upcoming,recHjufb3p5ruel7a,,recDoSBb4DM5KqgKU
9:45A,29748,636,$500 1.20m Jumper II.1,687,4219,46,upcoming,recreUBiFC2MZmR9i,rec4w9Z7qnRKWAlnz; recf6VLGX7W5V6Z3X,recv5tM8WRsJXD1XE
11:00A,29690,245,USHJA Hunter 3'3,688,3942,5,upcoming,recfHcZEh4ZLqA1QZ,,recaR67C6KX5jWSqM
11:00A,29691,246,USHJA Hunter 3'3,688,3942,5,upcoming,recPyMhA8KV8ZTfk1,,recq6WyjJlQhyUrJr
11:00A,29914,28,$350 Green Hunter 3'3,688,3942,2,upcoming,recU0Eiatz0k27CQ1,,recTVV7AIXpFq6AnL
9:00A,29909,23,$600 Green Hunter 3'6,688,3942,3,upcoming,rec2BzDNSg4WDQHgz,,recjfLVW9rjCEUDd9
9:30A,29913,27,$200 Green Hunter 3'6,688,3942,3,upcoming,recBX9xbONzyDrolx,,recwyva0qPIEp8GzR
1:15P,29878,274,USHJA Hunter 2'9,689,3948,8,upcoming,recjZI0rhly5sHxcT,,rec09MhvBBVFgsMON
11:45A,29924,37,$200 Green Hunter 3'0,689,3948,14,upcoming,reczcmooFTMVEtyx8,,reczFc7QMYZR4ToPl
12:15P,29881,271,USHJA Hunter 2'9,689,3948,7,upcoming,recI3RpiCRDuYHCWz,,recK1zHm5zMA8XGyj
2:00P,29930,48,$350 Young Hunter 2'9,689,3948,7,upcoming,recO0syHYNAZKGykW,,recqNpDn64fNIm2cV
2:45P,29934,52,$150 Young Hunter 2'9,689,3948,7,upcoming,rec3ZDEoJUW4HN32r,,recZ8uhkfAtDf8auw
3:00P,29936,54,$350 Young Hunter 3',689,3948,6,upcoming,recbMVcMhnEPoI63z,,recchPzOZMK0K0Fh7
3:30P,29939,57,$150 Young Hunter 3' U/S,689,3948,6,upcoming,recXkcWM45qeAOL6h,,recefq0YdQy3huRFY
3:45P,29941,59,$350 Young Hunter 3'3,689,3948,4,upcoming,rec0IXlin151hIPEp,,recAb5VnuaJuXYMVU
8:00A,29684,275,USHJA Hunter 3',689,3948,19,upcoming,recnxcUtLZ3Rb50u9,,recYvfwmHysdd5v8m
8:00A,29920,34,$350 Green Hunter 3'0,689,3948,13,upcoming,rechE6ahuk2jjboIl,,recDzMaWN5g9rYtC1
1:00P,29683,269,USHJA Hunter 2'6,691,3960,18,upcoming,rec23tvCOEUoKRv8l,,rec8C13RVUNpQommf
1:45P,29674,260,USHJA Hunter 2'3,691,3960,14,upcoming,recRGEMY5hanFFY49,,recz45gfw5v6yc70h
8:00A,29665,281,Baby Green Hunter 2'6',691,3960,9,upcoming,rec6EfOywfR4xwCc2,,rec1fmiBqgRPFYh6R
8:00A,29679,265,USHJA Hunter 2'6,691,3960,42,upcoming,recXIA3AMnmQ2u8cb,,reczqPlzbtTfrL567
3:00P,33349,337,WEC Hunter 3' US,742,4232,15,upcoming,recgNDJfzi57Owmno,,recUJVTLKlQ5VXvzi
7:30A,33348,336,WEC Hunter 3',742,4232,65,upcoming,rec7OR4MTmy0UlsVD,recFtq0YR5RqxuhTT; recIMRgrABNRlSpY8; recRKkdzg8HuuYPln; reckfPFMP2GLv639f,rec1QO83OvghMchxN
