status,entry_go_time,class_no,entry_order,entry_no,horse_display,rider,trainer_display,ring_no,ring_day_no,pace_seconds,n_gone,elapsed_seconds,source,class_oog,class_start_times,record_id
inactive,,29579,1,1027,Knox,Jessica Heap,CWF,685,4224,120,,,update_schedule_staging+class_oog,,,recv0Ebx9EJVFJXRh
inactive,,29580,1,1027,Knox,Jessica Heap,CWF,685,4224,120,,,update_schedule_staging+class_oog,,,rec6K0ey2RyhtOxJp
inactive,,29585,1,1029,Paisley,Kate Marisch,CWF,685,4224,120,,,update_schedule_staging+class_oog,,,reclL9g4PVou1UrsC
inactive,,29586,1,1029,Paisley,Kate Marisch,CWF,685,4224,120,,,update_schedule_staging+class_oog,,,recdEAN218MTn2d6n
inactive,,29719,1,1038,Bee,Carsyn Korotkin,CWF,685,4224,120,,,update_schedule_staging+class_oog,,,recePtzbkc6vjso72
inactive,,29736,9,2389,Fan,Sydney Matalon,CWF,685,4224,120,,,update_schedule_staging+class_oog,,,recZqG43sm2Y1fsE9
inactive,,29742,4,2667,Calypso,Josephine Demmo,CWF,685,4224,120,,,update_schedule_staging+class_oog,,,recUTN5Tvxk3PwVHJ
inactive,,29768,6,1297,La La Land,Grace Lyons,CWF,685,4224,120,,,update_schedule_staging+class_oog,,,recRogpEV72nMEIhx
inactive,,29768,17,2460,Shrek,Grace Lyons,CWF,685,4224,120,,,update_schedule_staging+class_oog,,,recBZUBVZC4eMbtVF
inactive,,29768,19,2667,Calypso,Grace Lyons,CWF,685,4224,120,,,update_schedule_staging+class_oog,,,recWcIrc5rA6m8eXw
inactive,,29769,5,1297,La La Land,Grace Lyons,CWF,685,4224,120,,,update_schedule_staging+class_oog,,,reckJ9RfuvEzl4Z3w
inactive,,29769,12,2460,Shrek,Grace Lyons,CWF,685,4224,120,,,update_schedule_staging+class_oog,,,recD2tgBO6SBfGrA1
inactive,,29771,5,1297,La La Land,Christina Faninger,CWF,685,4224,120,,,update_schedule_staging+class_oog,,,rec4rmKmsTf5Ciu8J
inactive,,29771,18,2460,Shrek,Lola Applebaum,CWF,685,4224,120,,,update_schedule_staging+class_oog,,,recE23KTYfpDxiAEf
inactive,,29771,19,2667,Calypso,Josephine Demmo,CWF,685,4224,120,,,update_schedule_staging+class_oog,,,recAH3XnIwA1kSOjd
inactive,,29772,7,1297,La La Land,Christina Faninger,CWF,685,4224,120,,,update_schedule_staging+class_oog,,,rec1vs1ExeO6tAggp
inactive,,29772,13,2460,Shrek,Lola Applebaum,CWF,685,4224,120,,,update_schedule_staging+class_oog,,,reci3zDBr4sW8YnDG
inactive,11:47:00,29776,17,2667,Calypso,Tanner Korotkin,CWF,685,4224,120,,,update_schedule_staging+class_oog,,,recX82a00RtnFELGk
upcoming,12:17:00,29776,17,2667,Calypso,Tanner Korotkin,CWF,685,4224,120,,,update_schedule_staging+class_oog,recUJToqu5syQHz9C,recRm1SaC7U7Odgby,reckm6CELsNKGkrAG
inactive,,29859,1,1031,Hurricane,Carsyn Korotkin,CWF,685,4224,120,,,update_schedule_staging+class_oog,,,recQadgbQ94dFFySn
