class_no,ring_no,ring_day_no,ring_name,time_text,event_name,entry_count,record_id
0,742,4232,STADIUM,,Midway Drag,0,rec0q7Z1AylxgKpKM
29684,689,3948,INDOOR 2,8:00 am,275) USHJA Hunter 3',19,rec1mxW3bJtCabC9Q
0,685,4224,INDOOR 5,,Ring Maintenance,0,rec3b6YLjsCfE9CIN
33348,742,4232,STADIUM,7:30 am,336) WEC Hunter 3',65,rec4b9ALQ33NoUNhV
29882,689,3948,INDOOR 2,12:15 pm,270) USHJA Hunter 2'9,7,rec4c4PASLyMFigrK
0,687,4219,INDOOR 6,,Ring Maintenance,0,rec5fO36hZbnIf7yj
29920,689,3948,INDOOR 2,8:00 am,34) $350 Green Hunter 3'0,13,rec5nhgMZ10SLQKrX
29675,691,3960,INDOOR 4,1:45 pm,261) USHJA Hunter 2'3,14,rec5uGld4PGlDNbWM
29934,689,3948,INDOOR 2,2:45 pm,52) $150 Young Hunter 2'9,7,rec6KoohlWsEx9iSn
30070,685,4224,INDOOR 5,1:00 pm,683) 1.0m Young Jumpers II,20,rec7LJvRrSCSkRIHl
0,686,3936,WEC GRAND ARENA,,Midway Drag,0,rec7UABIakjMyXQY8
33311,686,3936,WEC GRAND ARENA,11:30 am,"1101) $3,000 Coca-Cola 1.40m CSIU25 Two Phase 222.1.4.3",21,rec96N2oeSXwY4INx
29784,687,4219,INDOOR 6,1:45 pm,689) $250 1.20m Young Jumper  II.1,25,recAUnFxWkvhrzuzG
0,691,3960,INDOOR 4,,Midway Drag,0,recB1xc0THWJjnplf
29878,689,3948,INDOOR 2,1:15 pm,274) USHJA Hunter 2'9,8,recBIgOlWfy8WtPwV
29674,691,3960,INDOOR 4,1:45 pm,260) USHJA Hunter 2'3,14,recBjV6HeWX936pDE
0,689,3948,INDOOR 2,,Midway Drag,0,recCHMGtQSnsG8Ll0
29685,689,3948,INDOOR 2,8:00 am,276) USHJA Hunter 3',11,recEGtDWsSIgjyGFe
29935,689,3948,INDOOR 2,3:00 pm,53) $350 Young Hunter 3',6,recEqHx9AMdaNBW9u
29751,687,4219,INDOOR 6,12:15 pm,642) $1000 1.30m Jumper II.1,25,recGXnXPcAny9g1t3
0,685,4224,INDOOR 5,,Ring Maintenance,0,recGps0zJvr9TA3Uu
0,687,4219,INDOOR 6,,Ring Maintenance,0,recHLsAUmjl1aSFtd
0,690,3954,INDOOR 3,,FEI Horses Only,0,recHPzCM4R3BsH7XT
29924,689,3948,INDOOR 2,11:45 am,37) $200 Green Hunter 3'0,14,recHYQ49jDJvplMCM
0,686,3936,WEC GRAND ARENA,,Ring Maintenance,0,recJGpa3wflqigh7v
33347,742,4232,STADIUM,7:30 am,335) WEC Hunter 3',71,recJhBoQ2phpqGrqx
0,687,4219,INDOOR 6,,Ring Maintenance,0,recLzRflmCOtpWVZn
29930,689,3948,INDOOR 2,2:00 pm,48) $350 Young Hunter 2'9,7,recNuYBtFsWO38UO4
29941,689,3948,INDOOR 2,3:45 pm,59) $350 Young Hunter 3'3,4,recOwauW6MzlFbzgX
29787,687,4219,INDOOR 6,3:00 pm,692) $250 1.30m Young Jumper   II.1,12,recQ0UpbkYV7BtrzV
0,691,3960,INDOOR 4,,Ticketed Schooling until 3:30 pm,0,recQISjfRcfyVUg3g
0,691,3960,INDOOR 4,,Ring Maintenance,0,recQJu94srsEvwqgN
29665,691,3960,INDOOR 4,8:00 am,281) Baby Green Hunter 2'6',9,recRCw1RK8fDcPxm0
33572,688,3942,INDOOR 1,,14) $350 High Perf / Perf Hunter 3'3,8,recS4Zmh8r098lXJO
0,686,3936,WEC GRAND ARENA,,Ring Maintenance,0,recScvNDlNC2Nb4cK
29748,687,4219,INDOOR 6,9:45 am,636) $500 1.20m Jumper II.1,46,recXJZJBBpKqYDOad
