record_id,class_no,ring_no,ring_day_no,ring_name,time_text,event_name,entry_count,lock
recveJGLkk9RjGHh7,30070,685,4224,INDOOR 5,1:00 pm,683) 1.0m Young Jumpers II,20,true
recP9oVXUDS2eAmyS,29776,685,4224,INDOOR 5,11:45 am,630) 1.10m Jumper  II.1,26,true
reci3odRyUkDjLulD,30052,685,4224,INDOOR 5,2:00 pm,680) .90m Young Jumpers II,9,true
recO9CW9FR6D75kYl,30012,685,4224,INDOOR 5,8:00 am,624) .95m Jumper II.1,23,true
recjxDAEQi3YtW4qB,29774,685,4224,INDOOR 5,9:45 am,627) 1.00m Jumper II.1,31,true
recvfqbyymIQa6kuI,29754,686,3936,WEC GRAND ARENA,1:00 pm,645) $1000 1.35m Jumper II.1,66,true
recLsogDnoaD6LfYD,33311,686,3936,WEC GRAND ARENA,11:30 am,"1101) $3,000 Coca-Cola 1.40m CSIU25 Two Phase 222.1.4.3",21,true
reciUkVHWVFgDzrar,29855,686,3936,WEC GRAND ARENA,8:00 am,"3301) $5,000 Coca-Cola1.40m CSI3* Two Phase 222.1.4.3",23,true
recERmIcmVMi480ad,29559,686,3936,WEC GRAND ARENA,9:45 am,"3302) $32,000 Coca-Cola  1.45m CSI3* Speed 220.2.1.1",26,true
recd43jMYOrlkRcvJ,29784,687,4219,INDOOR 6,1:45 pm,689) $250 1.20m Young Jumper  II.1,25,true
recHsu95Zb5ro0M9X,29751,687,4219,INDOOR 6,12:15 pm,642) $1000 1.30m Jumper II.1,25,true
recxsGXaqIoHHxbMf,29787,687,4219,INDOOR 6,3:00 pm,692) $250 1.30m Young Jumper   II.1,12,true
recY2iDxTBV2qsUYP,29781,687,4219,INDOOR 6,3:45 pm,686) 1.10m Young Jumper  II,20,true
recHjufb3p5ruel7a,29779,687,4219,INDOOR 6,7:30 am,633) 1.15m Jumper II.1,41,true
recreUBiFC2MZmR9i,29748,687,4219,INDOOR 6,9:45 am,636) $500 1.20m Jumper II.1,46,true
recfHcZEh4ZLqA1QZ,29690,688,3942,INDOOR 1,11:00 am,245) USHJA Hunter 3'3,5,true
recPyMhA8KV8ZTfk1,29691,688,3942,INDOOR 1,11:00 am,246) USHJA Hunter 3'3,5,true
recU0Eiatz0k27CQ1,29914,688,3942,INDOOR 1,11:00 am,28) $350 Green Hunter 3'3,2,true
rec2BzDNSg4WDQHgz,29909,688,3942,INDOOR 1,9:00 am,23) $600 Green Hunter 3'6,3,true
recBX9xbONzyDrolx,29913,688,3942,INDOOR 1,9:30 am,27) $200 Green Hunter 3'6,3,true
recjZI0rhly5sHxcT,29878,689,3948,INDOOR 2,1:15 pm,274) USHJA Hunter 2'9,8,true
reczcmooFTMVEtyx8,29924,689,3948,INDOOR 2,11:45 am,37) $200 Green Hunter 3'0,14,true
recI3RpiCRDuYHCWz,29881,689,3948,INDOOR 2,12:15 pm,271) USHJA Hunter 2'9,7,true
recO0syHYNAZKGykW,29930,689,3948,INDOOR 2,2:00 pm,48) $350 Young Hunter 2'9,7,true
rec3ZDEoJUW4HN32r,29934,689,3948,INDOOR 2,2:45 pm,52) $150 Young Hunter 2'9,7,true
recbMVcMhnEPoI63z,29936,689,3948,INDOOR 2,3:00 pm,54) $350 Young Hunter 3',6,true
recXkcWM45qeAOL6h,29939,689,3948,INDOOR 2,3:30 pm,57) $150 Young Hunter 3' U/S,6,true
rec0IXlin151hIPEp,29941,689,3948,INDOOR 2,3:45 pm,59) $350 Young Hunter 3'3,4,true
recnxcUtLZ3Rb50u9,29684,689,3948,INDOOR 2,8:00 am,275) USHJA Hunter 3',19,true
rechE6ahuk2jjboIl,29920,689,3948,INDOOR 2,8:00 am,34) $350 Green Hunter 3'0,13,true
rec23tvCOEUoKRv8l,29683,691,3960,INDOOR 4,1:00 pm,269) USHJA Hunter 2'6,18,true
recRGEMY5hanFFY49,29674,691,3960,INDOOR 4,1:45 pm,260) USHJA Hunter 2'3,14,true
rec6EfOywfR4xwCc2,29665,691,3960,INDOOR 4,8:00 am,281) Baby Green Hunter 2'6',9,true
recXIA3AMnmQ2u8cb,29679,691,3960,INDOOR 4,8:00 am,265) USHJA Hunter 2'6,42,true
recgNDJfzi57Owmno,33349,742,4232,STADIUM,3:00 pm,337) WEC Hunter 3' US,15,true
rec7OR4MTmy0UlsVD,33348,742,4232,STADIUM,7:30 am,336) WEC Hunter 3',65,true
