class_no,ring_no,ring_day_no,ring_name,time_text,event_name,entry_count,lock,shows,classes,ring_days,rings,show_days,events,focus_show,record_id
30070,685,4224,INDOOR 5,1:00 pm,683) 1.0m Young Jumpers II,20,true,recYzHH8l3BfSw93e,recTzXm1PBH2F0Tfo,recYpG64M9deHCFs3,recbtp3vCFG3g21jJ,reclDCSjqeQ3CLDeV,recogabRROeM0aZtv,recLh1GS3VPfTe1z2,recveJGLkk9RjGHh7
29776,685,4224,INDOOR 5,11:45 am,630) 1.10m Jumper  II.1,26,true,recYzHH8l3BfSw93e,recKYeZbINNd8OkRn,recYpG64M9deHCFs3,recbtp3vCFG3g21jJ,reclDCSjqeQ3CLDeV,recmWHzAJ8Mn4uurS,recLh1GS3VPfTe1z2,recP9oVXUDS2eAmyS
30052,685,4224,INDOOR 5,2:00 pm,680) .90m Young Jumpers II,9,true,recYzHH8l3BfSw93e,rechrO2BNz7y9sris,recYpG64M9deHCFs3,recbtp3vCFG3g21jJ,reclDCSjqeQ3CLDeV,reckQQguUQ8h5F6cu,recLh1GS3VPfTe1z2,reci3odRyUkDjLulD
30012,685,4224,INDOOR 5,8:00 am,624) .95m Jumper II.1,23,true,recYzHH8l3BfSw93e,recxbHPNQpMiWhGFv,recYpG64M9deHCFs3,recbtp3vCFG3g21jJ,reclDCSjqeQ3CLDeV,recq9VpngbCBt0yaT,recLh1GS3VPfTe1z2,recO9CW9FR6D75kYl
29774,685,4224,INDOOR 5,9:45 am,627) 1.00m Jumper II.1,31,true,recYzHH8l3BfSw93e,recwFzSMh5PPs5gSZ,recYpG64M9deHCFs3,recbtp3vCFG3g21jJ,reclDCSjqeQ3CLDeV,rec46159Svo87ZIV4,recLh1GS3VPfTe1z2,recjxDAEQi3YtW4qB
29754,686,3936,WEC GRAND ARENA,1:00 pm,645) $1000 1.35m Jumper II.1,66,true,recYzHH8l3BfSw93e,recU8ipADrabfsLVl,recQ6EzTsDkI9kOGC,recbIfaR987YLeOAi,reclDCSjqeQ3CLDeV,receQvzEsYGU4LVJV,recLh1GS3VPfTe1z2,recvfqbyymIQa6kuI
33311,686,3936,WEC GRAND ARENA,11:30 am,"1101) $3,000 Coca-Cola 1.40m CSIU25 Two Phase 222.1.4.3",21,true,recYzHH8l3BfSw93e,rec1ObrG6ch801GSH,recQ6EzTsDkI9kOGC,recbIfaR987YLeOAi,reclDCSjqeQ3CLDeV,recKWuookqLLBVGCQ,recLh1GS3VPfTe1z2,recLsogDnoaD6LfYD
29855,686,3936,WEC GRAND ARENA,8:00 am,"3301) $5,000 Coca-Cola1.40m CSI3* Two Phase 222.1.4.3",23,true,recYzHH8l3BfSw93e,recDuOOkHotwvqpMl,recQ6EzTsDkI9kOGC,recbIfaR987YLeOAi,reclDCSjqeQ3CLDeV,recVhXWacuT19LLcr,recLh1GS3VPfTe1z2,reciUkVHWVFgDzrar
29559,686,3936,WEC GRAND ARENA,9:45 am,"3302) $32,000 Coca-Cola  1.45m CSI3* Speed 220.2.1.1",26,true,recYzHH8l3BfSw93e,recLw6NllktIgseWI,recQ6EzTsDkI9kOGC,recbIfaR987YLeOAi,reclDCSjqeQ3CLDeV,recAcIZQtiCodMzb3,recLh1GS3VPfTe1z2,recERmIcmVMi480ad
29784,687,4219,INDOOR 6,1:45 pm,689) $250 1.20m Young Jumper  II.1,25,true,recYzHH8l3BfSw93e,recRlU8ER76Na0ZXe,recv7mhX5hNKN8RAC,recLpYWCRxBEPGXpM,reclDCSjqeQ3CLDeV,recVEpzk8bCKt41Jw,recLh1GS3VPfTe1z2,recd43jMYOrlkRcvJ
29751,687,4219,INDOOR 6,12:15 pm,642) $1000 1.30m Jumper II.1,25,true,recYzHH8l3BfSw93e,recXrEUKzI8zuMgaH,recv7mhX5hNKN8RAC,recLpYWCRxBEPGXpM,reclDCSjqeQ3CLDeV,rec7ropZVM6uVSYdD,recLh1GS3VPfTe1z2,recHsu95Zb5ro0M9X
29787,687,4219,INDOOR 6,3:00 pm,692) $250 1.30m Young Jumper   II.1,12,true,recYzHH8l3BfSw93e,recPftKF95dVuiFHr,recv7mhX5hNKN8RAC,recLpYWCRxBEPGXpM,reclDCSjqeQ3CLDeV,recR3uS5xkKgSAixE,recLh1GS3VPfTe1z2,recxsGXaqIoHHxbMf
29781,687,4219,INDOOR 6,3:45 pm,686) 1.10m Young Jumper  II,20,true,recYzHH8l3BfSw93e,rec877b8wbKFMTFk5,recv7mhX5hNKN8RAC,recLpYWCRxBEPGXpM,reclDCSjqeQ3CLDeV,recaQIRgBzOO9F9IH,recLh1GS3VPfTe1z2,recY2iDxTBV2qsUYP
29779,687,4219,INDOOR 6,7:30 am,633) 1.15m Jumper II.1,41,true,recYzHH8l3BfSw93e,recFMShlFsuZlEoBE,recv7mhX5hNKN8RAC,recLpYWCRxBEPGXpM,reclDCSjqeQ3CLDeV,recHRSCju4RVqwo4g,recLh1GS3VPfTe1z2,recHjufb3p5ruel7a
29748,687,4219,INDOOR 6,9:45 am,636) $500 1.20m Jumper II.1,46,true,recYzHH8l3BfSw93e,recdfOeBkYD0obhv0,recv7mhX5hNKN8RAC,recLpYWCRxBEPGXpM,reclDCSjqeQ3CLDeV,recdzmIaSMcr9zbT4,recLh1GS3VPfTe1z2,recreUBiFC2MZmR9i
