class_number,class_name,entry_count,class_no,sect_no
18,"$250 Green Hunter 3'3""/3'6""",3,33433,11980
19,"$250 Green Hunter 3'3""/3'6""",3,33434,11980
20,"$250 Green Hunter 3'3""/3'6""",3,33435,11980
21,"$250 Green Hunter 3'3""/3'6""",3,33436,11980
22,"Green Hunter 3'3""/3'6"" U/S",3,33437,11980
33,"$250 Green Hunter 3'0""",5,28358,10281
34,"$250 Green Hunter 3'0""",5,28359,10281
35,"$250 Green Hunter 3'0""",5,28360,10281
36,"$250 Green Hunter 3'0""",5,28361,10281
37,"Green Hunter 3'0"" U/S",5,28362,10281
38,"$200 Performance Hunter 3'6""/3'3""",10,33428,11979
39,"$200 Performance Hunter 3'6""/3'3""",9,33429,11979
40,"$200 Performance Hunter 3'6""/3'3""",6,33430,11979
41,"$200 Performance Hunter 3'6""/3'3""-Handy",5,33431,11979
42,"Performance Hunter 3'6""/3'3"" U/S",2,33432,11979
48,"Young Hunter 2'9""/3'",2,33438,11981
49,"Young Hunter 2'9""/3'",2,33439,11981
50,"Young Hunter 2'9""/3'",2,33440,11981
51,"Young Hunter 2'9""/3'",2,33441,11981
52,"Young Hunter 2'9""/3' U/S",0,33442,11981
58,"Young Hunter 3'3""",0,28379,10303
59,"Young Hunter 3'3""",0,28380,10303
60,"Young Hunter 3'3""",0,28381,10303
61,"Young Hunter 3'3""",0,28382,10303
62,"Young Hunter 3'3"" U/S",0,28383,10303
80,"$300 AO Hunter 3'6""/3'3""",3,33476,11988
81,"$300 AO Hunter 3'6""/3'3"" (1st rnd Classic)",3,33477,11988
82,"$300 AO Hunter 3'3""/3'6""",3,33478,11988
83,"$300 AO Hunter 3'3""/3'6"" 18-35-Handy/36+-Handy",3,33479,11988
84,"AO Hunter 3'3""/3'6"" U/S",3,33480,11988
100,"$300 Junior Hunter 3'6""",3,28760,10326
101,"$300 Junior Hunter 3'6"" (1st rnd Classic)",3,28761,10326
102,"$300 Junior Hunter 3'6""",1,28762,10326
103,"$300 Junior Hunter 3'6""-Handy",1,28763,10326
104,"Junior Hunter 3'6"" U/S",3,28764,10326
120,"$300 Junior Hunter 3'3""",6,28820,10333
121,"$300 Junior Hunter 3'3"" (1st rnd Classic)",6,28821,10333
122,"$300 Junior Hunter 3'3""",6,28822,10333
123,"$300 Junior Hunter 3'3"" -Handy",6,28823,10333
124,"Junior Hunter 3'3"" U/S",6,28824,10333
150,"Green Pony Conf Hunter- Sm 2'3""/Med 2'6""/Lg 2'9""",0,28774,10346
151,"Grn Pony Hunter Sm 2'3""/Med 2'6""/Lg 2'9"" (1st rnd Classic",0,28775,10346
152,"Green Pony Hunter Sm 2'3""/Med 2'6""/Lg 2'9""",0,28776,10346
153,"Green Pony Hunter Sm 2'3""/Med 2'6""/Lg 2'9""",0,28778,10346
154,"Green Pony Hunter Sm 2'3""/Med 2'6""/Lg 2'9"" U/S",0,28779,10346
182,"$200 Pony Conf Hunter 2'3""/2'6""/2'9""",3,28355,10338
183,"$200 Pony Hunter 2'3""/2'6""/2'9"" (1st rnd Cl)",3,28780,10338
184,"$200 Pony Hunter Sm2'3""/Med2'6""/Lg2'9""",3,28781,10338
185,"$200 Pony Hunter Sm2'3""/Med2'6""/Lg2'9""-Handy",3,28782,10338
186,"Pony Hunter Sm2'3""/Med2'6""/Lg2'9"" U/S",3,28783,10338
200,$175 Children's Hunter 3',9,28366,10348
