class_label,class_number,class_name,result_entry_count,class_no,sect_no,has_score,has_prize
"18) $250 Green Hunter 3'3""/3'6""",18,"$250 Green Hunter 3'3""/3'6""",3,33433,11980,true,true
"19) $250 Green Hunter 3'3""/3'6""",19,"$250 Green Hunter 3'3""/3'6""",3,33434,11980,true,true
"20) $250 Green Hunter 3'3""/3'6""",20,"$250 Green Hunter 3'3""/3'6""",3,33435,11980,true,true
"21) $250 Green Hunter 3'3""/3'6""",21,"$250 Green Hunter 3'3""/3'6""",3,33436,11980,true,true
"22) Green Hunter 3'3""/3'6"" U/S",22,"Green Hunter 3'3""/3'6"" U/S",3,33437,11980,true,true
"33) $250 Green Hunter 3'0""",33,"$250 Green Hunter 3'0""",5,28358,10281,true,true
"34) $250 Green Hunter 3'0""",34,"$250 Green Hunter 3'0""",5,28359,10281,true,true
"35) $250 Green Hunter 3'0""",35,"$250 Green Hunter 3'0""",5,28360,10281,true,true
"36) $250 Green Hunter 3'0""",36,"$250 Green Hunter 3'0""",5,28361,10281,true,true
"37) Green Hunter 3'0"" U/S",37,"Green Hunter 3'0"" U/S",5,28362,10281,true,false
"38) $200 Performance Hunter 3'6""/3'3""",38,"$200 Performance Hunter 3'6""/3'3""",10,33428,11979,true,true
"39) $200 Performance Hunter 3'6""/3'3""",39,"$200 Performance Hunter 3'6""/3'3""",9,33429,11979,true,true
"40) $200 Performance Hunter 3'6""/3'3""",40,"$200 Performance Hunter 3'6""/3'3""",6,33430,11979,true,true
"41) $200 Performance Hunter 3'6""/3'3""-Handy",41,"$200 Performance Hunter 3'6""/3'3""-Handy",5,33431,11979,true,true
"42) Performance Hunter 3'6""/3'3"" U/S",42,"Performance Hunter 3'6""/3'3"" U/S",4,33432,11979,false,false
"48) Young Hunter 2'9""/3'",48,"Young Hunter 2'9""/3'",2,33438,11981,false,false
"49) Young Hunter 2'9""/3'",49,"Young Hunter 2'9""/3'",2,33439,11981,false,false
"50) Young Hunter 2'9""/3'",50,"Young Hunter 2'9""/3'",2,33440,11981,false,false
"51) Young Hunter 2'9""/3'",51,"Young Hunter 2'9""/3'",2,33441,11981,false,false
"80) $300 AO Hunter 3'6""/3'3""",80,"$300 AO Hunter 3'6""/3'3""",3,33476,11988,true,true
"81) $300 AO Hunter 3'6""/3'3"" (1st rnd Classic)",81,"$300 AO Hunter 3'6""/3'3"" (1st rnd Classic)",3,33477,11988,true,true
"82) $300 AO Hunter 3'3""/3'6""",82,"$300 AO Hunter 3'3""/3'6""",3,33478,11988,true,true
"83) $300 AO Hunter 3'3""/3'6"" 18-35-Handy/36+-Handy",83,"$300 AO Hunter 3'3""/3'6"" 18-35-Handy/36+-Handy",3,33479,11988,true,true
"84) AO Hunter 3'3""/3'6"" U/S",84,"AO Hunter 3'3""/3'6"" U/S",3,33480,11988,false,false
"100) $300 Junior Hunter 3'6""",100,"$300 Junior Hunter 3'6""",3,28760,10326,true,true
