sect_no,classes,result_rows,class_numbers,class_nos,sample_names
0,54,622,404 | 405 | 406 | 407 | 408 | 412 | 416 | 418 | 419 | 420 | 421 | 423 | 424 | 425 | 427 | 428 | 430 | 431 | 527 | 528 | 529 | 530 | 531 | 532 | 533 | 534 | 535 | 536 | 537 | 545 | 546 | 547 | 548 | 549 | 680 | 681 | 683 | 684 | 685 | 686 | 687 | 688 | 803 | 804 | 805 | 817 | 818 | 820 | 926 | 2001 | 2201 | 2202 | 2203 | 2204,29176 | 29177 | 29178 | 29179 | 29175 | 33541 | 33558 | 29431 | 29463 | 29193 | 33542 | 29196 | 29197 | 33454 | 29199 | 29200 | 29181 | 29182 | 29231 | 29229 | 29240 | 29241 | 29242 | 29243 | 29244 | 29232 | 29238 | 29239 | 33505 | 29468 | 29469 | 29245 | 29246 | 28950 | 29433 | 29449 | 29451 | 29452 | 29453 | 29166 | 29167 | 29168 | 29180 | 29455 | 29413 | 29409 | 29410 | 29412 | 29201 | 29247 | 29237 | 28941 | 28943 | 28940,"$10,000 USHJA UF Vet Hunter Derby 3' Open | $10,000 USHJA National Hunter Derby 3' Jr/Am | $10,000 Golden Ocala Hunter Derby 3'6/3'9"
10391,1,26,853,29100,$5000 NAL 1.35m Prestige Italia Jr/Am Classic II.2b
10394,3,72,633 | 634 | 635,29164 | 29165 | 29402,1.15m Jumper II.1 | 1.15m Jumper II.2d | 1.15m Jumper II.2b
10397,3,67,606 | 607 | 608,29391 | 29392 | 29393,.75m Jumper Open IV.1
10398,3,69,609 | 610 | 611,29397 | 29398 | 29399,.75m Jumper Junior/Amateur IV.1
10399,1,23,624,29394,.95m Jumper II.1
10410,3,34,734 | 735 | 810,29122 | 29123 | 29124,$150 .90m Novice Amateur Jumper II.1 | $150 .90m Novice Amateur Jumper II.2d | $500 .95m Novice Amateur Classic II.2b
10412,5,24,330 | 331 | 332 | 333 | 334,29036 | 29037 | 29038 | 29039 | 29040,"$100 Low Adult Hunter 55+ 2'6"" | $100 Low Adult Hunter 55+ (1st rnd Classic) 2'6' | $50 Low Adult Hunter 55+ U/S"
10413,5,40,325 | 326 | 327 | 328 | 329,29030 | 29031 | 29032 | 29034 | 29035,"$100 Low Adult Hunter 36-54 2'6"" | $100 Low Adult Hunter 36-54 (1st rnd Classic) 2'6' | $50 Low Adult Hunter 36-54 U/S"
10414,4,95,627 | 628 | 629a | 629b,29159 | 29160 | 29401 | 33506,1.00m Jumper II.1 | 1.00m Jumper II.2d | 1.00m Jumper II.2b
10415,3,92,630 | 631 | 632,29161 | 29162 | 29163,1.10m Jumper II.1 | 1.10m Jumper II.2d | 1.10m Jumper II.2b
10418,3,37,600 | 601 | 602,29140 | 29141 | 29142,$100 .65m Jumper Open IV.1
10419,3,49,603 | 604 | 605,29143 | 29144 | 29145,$100 .65m Jumper Long Creek Farm Junior/Amateur IV.1
10422,3,96,618 | 619 | 620,29152 | 29153 | 29154,.85m Jumper Open II.2d
10423,3,91,621 | 622 | 623,29156 | 29157 | 29158,.85m Jumper Junior/Amateur II.2d
10431,5,0,315 | 316 | 317 | 318 | 319,29020 | 29021 | 29022 | 29023 | 29024,$100 Low Children's Pony Hunter 2' | $50 Low Children's Pony Hunter U/S
10435,3,5,695 | 696 | 697,29125 | 29126 | 29127,$100 1.0m Thoroughbred Jumper II.1 | $100 1.0m Thoroughbred Jumper II.2d | $100 1.0m Thoroughbred Jumper II.2b
10436,3,76,757 | 758 | 816,29104 | 29105 | 29106,$600 1.15m Junior/Amateur Jumper II.1 | $600 1.15m Junior/Amateur Jumper II.2d | $3000 1.15m Junior/Amateur Classic II.2b
10438,5,65,245 | 246 | 247 | 248 | 249,29071 | 29072 | 29074 | 29075 | 29076,"USHJA Hunter 3'3"" | USHJA Hunter 3'3"" U/S"
10440,3,9,500 | 501 | 502,29202 | 29203 | 29204,Equitation 11/U 2' | Equitation 11/U Flat
10441,5,47,260 | 261 | 262 | 263 | 264,29056 | 29057 | 29058 | 29059 | 29060,"USHJA Hunter 2'3"" | USHJA Hunter 2'3"" U/S"
10444,3,12,503 | 504 | 505,29205 | 29206 | 29207,Equitation 12-14 2'9' | Equitation 12-14 Flat
10447,3,15,506 | 507 | 508,29208 | 29209 | 29210,"Equitation 15-17 3'3"" | Equitation 15-17 Flat"
10452,5,52,43 | 44 | 45 | 46 | 47,29327 | 29328 | 29329 | 29330 | 29331,"$350 Performance Hunter 3'3"" | $350 Performance Hunter 3'3""-Handy | $150 Performance Hunter 3'3"" U/S"
10458,3,30,781 | 782 | 855,29095 | 29096 | 29097,"$2500 1.40m Jr/Am Jumper II.1 | $2500 1.40m Jr/Am Jumper II.2d | $10,000 1.45m Junior/Amateur Classic II.2b"
10459,3,16,509 | 510 | 511,29211 | 29212 | 29213,Adult Equitation 3' | Adult Equitation Flat
10460,3,18,512 | 513 | 514,29214 | 29215 | 29216,Children's Equitation 3' | Children's Equitation Flat
10461,5,42,33 | 34 | 35 | 36 | 37,29302 | 29303 | 29304 | 29305 | 29306,"$350 Green Hunter 3'0"" | $350 Green Hunter 3'0"" (Incentive Score) | $150 Green Hunter 3'0"" U/S"
10462,3,21,515 | 516 | 517,29217 | 29218 | 29219,"Low Children's Equitation 2'6"" | Low Children's Equitation Flat"
10464,3,16,518 | 519 | 520,29220 | 29221 | 29222,"Low Adult Equitation 2'6"" | Low Adult Equitation 2'6' | Low Adult Equitation Flat"
10465,5,38,28 | 29 | 30 | 31 | 32,29297 | 29298 | 29299 | 29300 | 29301,"$350 Green Hunter 3'3"" | $350 Green Hunter 3'3"" (Incentive Score) | $150 Green Hunter 3'3"" U/S"
10470,5,44,927 | 928 | 929 | 930 | 931,29248 | 29249 | 29250 | 29251 | 29252,Walk Trot Equitation Ground Rails | Walk Trot Equitation Ground Rails Flat
10474,5,20,48 | 49 | 50 | 51 | 52,29312 | 29313 | 29314 | 29315 | 29316,"$350 Young Hunter 2'9"" | $150 Young Hunter 2'9"" U/S"
10475,3,57,749 | 750 | 813,29107 | 29108 | 29109,$500 1.10m Junior Jumper II.1 | $500 1.10m Junior Jumper II.2d | $2500 1.10m NAL/WIHS Junior Classic II.2b
10476,3,92,755 | 756 | 815,29110 | 29111 | 29112,$500 1.10m Amateur Jumper II.1 | $500 1.10m Amateur Jumper II.2d | $2500 1.10m NAL/WIHS Amateur Classic II.2b
10480,3,61,689 | 690 | 691,29169 | 29170 | 29171,$250 1.20m Young Jumper II.1 | $250 1.20m Young Jumper II.2d | $250 1.20m Young Jumper II.2b
10481,3,77,692 | 693 | 694,29172 | 29173 | 29174,$250 1.30m Young Jumper II.1 | $250 1.30m Young Jumper II.2d | $250 1.30m Young Jumper II.2b
10483,3,63,731 | 732 | 809,29119 | 29120 | 29121,$150 .90m Novice Junior Jumper II.1 | $150 .90m Novice Junior Jumper II.2d | $500 .95m Novice Junior Classic II.2b
10484,3,38,737a | 738a | 811a,29113 | 29114 | 29115,$200 1.00m Junior Jumper II.1 | $200 1.00m Junior Jumper II.2d | $750 1.05m Junior Classic II.2b
