class_label,class_number,class_name,result_entry_count,class_no,sect_no,has_score,has_prize
255) USHJA Hunter 2',255,USHJA Hunter 2',16,29051,10534,false,false
256) USHJA Hunter 2',256,USHJA Hunter 2',13,29052,10534,false,false
257) USHJA Hunter 2',257,USHJA Hunter 2',24,29053,10534,false,false
258) USHJA Hunter 2',258,USHJA Hunter 2',20,29054,10534,false,false
259) USHJA Hunter 2 U/S,259,USHJA Hunter 2 U/S,14,29055,10534,false,false
"260) USHJA Hunter 2'3""",260,"USHJA Hunter 2'3""",11,29056,10441,false,false
"261) USHJA Hunter 2'3""",261,"USHJA Hunter 2'3""",10,29057,10441,false,false
"262) USHJA Hunter 2'3""",262,"USHJA Hunter 2'3""",10,29058,10441,false,false
"263) USHJA Hunter 2'3""",263,"USHJA Hunter 2'3""",9,29059,10441,false,false
"264) USHJA Hunter 2'3"" U/S",264,"USHJA Hunter 2'3"" U/S",7,29060,10441,false,false
"265) USHJA Hunter 2'6""",265,"USHJA Hunter 2'6""",20,29061,10533,false,false
"266) USHJA Hunter 2'6""",266,"USHJA Hunter 2'6""",17,29062,10533,false,false
"267) USHJA Hunter 2'6""",267,"USHJA Hunter 2'6""",23,29063,10533,false,false
"268) USHJA Hunter 2'6""",268,"USHJA Hunter 2'6""",20,29064,10533,false,false
"269) USHJA Hunter 2'6"" U/S",269,"USHJA Hunter 2'6"" U/S",11,29065,10533,false,false
"270) USHJA Hunter 2'9""",270,"USHJA Hunter 2'9""",14,29264,10532,false,false
"271) USHJA Hunter 2'9""",271,"USHJA Hunter 2'9""",14,29263,10532,false,false
"272) USHJA Hunter 2'9""",272,"USHJA Hunter 2'9""",10,29262,10532,false,false
"273) USHJA Hunter 2'9""",273,"USHJA Hunter 2'9""",7,29261,10532,false,false
"274) USHJA Hunter 2'9"" U/S",274,"USHJA Hunter 2'9"" U/S",6,29260,10532,false,false
