class_label,class_number,class_name,result_entry_count,class_no,sect_no,has_score,has_prize
"13) $400 High Perf 4'/Perf Hunter 3'6""",13,"$400 High Perf 4'/Perf Hunter 3'6""",5,33493,11990,true,true
"14) $400 High Perf 4'/Perf Hunter 3'6""",14,"$400 High Perf 4'/Perf Hunter 3'6""",5,33494,11990,true,true
"15) $400 High Perf 4'/Perf Hunter 3'6""",15,"$400 High Perf 4'/Perf Hunter 3'6""",10,33495,11990,true,true
"16) $400 High Perf 4' / Perf Hunter-Handy 3'6""",16,"$400 High Perf 4' / Perf Hunter-Handy 3'6""",9,33496,11990,true,true
"17) $150 High Perf 4'/Perf Hunter 3'6"" U/S",17,"$150 High Perf 4'/Perf Hunter 3'6"" U/S",4,33497,11990,true,true
"28) $350 Green Hunter 3'3""",28,"$350 Green Hunter 3'3""",8,29297,10465,true,true
"29) $350 Green Hunter 3'3""",29,"$350 Green Hunter 3'3""",8,29298,10465,true,true
"30) $350 Green Hunter 3'3"" (Incentive Score)",30,"$350 Green Hunter 3'3"" (Incentive Score)",8,29299,10465,true,true
"31) $350 Green Hunter 3'3""",31,"$350 Green Hunter 3'3""",8,29300,10465,true,true
"32) $150 Green Hunter 3'3"" U/S",32,"$150 Green Hunter 3'3"" U/S",6,29301,10465,true,true
"33) $350 Green Hunter 3'0""",33,"$350 Green Hunter 3'0""",8,29302,10461,false,true
"34) $350 Green Hunter 3'0""",34,"$350 Green Hunter 3'0""",8,29303,10461,false,true
"35) $350 Green Hunter 3'0"" (Incentive Score)",35,"$350 Green Hunter 3'0"" (Incentive Score)",9,29304,10461,false,true
"36) $350 Green Hunter 3'0""",36,"$350 Green Hunter 3'0""",9,29305,10461,false,true
"37) $150 Green Hunter 3'0"" U/S",37,"$150 Green Hunter 3'0"" U/S",8,29306,10461,false,true
"43) $350 Performance Hunter 3'3""",43,"$350 Performance Hunter 3'3""",12,29327,10452,true,true
"44) $350 Performance Hunter 3'3""",44,"$350 Performance Hunter 3'3""",11,29328,10452,true,true
"45) $350 Performance Hunter 3'3""",45,"$350 Performance Hunter 3'3""",13,29329,10452,true,true
"46) $350 Performance Hunter 3'3""-Handy",46,"$350 Performance Hunter 3'3""-Handy",11,29330,10452,true,true
"47) $150 Performance Hunter 3'3"" U/S",47,"$150 Performance Hunter 3'3"" U/S",5,29331,10452,true,true
"48) $350 Young Hunter 2'9""",48,"$350 Young Hunter 2'9""",4,29312,10474,false,true
"49) $350 Young Hunter 2'9""",49,"$350 Young Hunter 2'9""",4,29313,10474,false,true
"50) $350 Young Hunter 2'9""",50,"$350 Young Hunter 2'9""",4,29314,10474,false,true
"51) $350 Young Hunter 2'9""",51,"$350 Young Hunter 2'9""",4,29315,10474,false,true
"52) $150 Young Hunter 2'9"" U/S",52,"$150 Young Hunter 2'9"" U/S",4,29316,10474,false,true
"53) $350 Young Hunter 3'/3'3""",53,"$350 Young Hunter 3'/3'3""",6,33500,11991,false,true
"54) $350 Young Hunter 3'/3'3""",54,"$350 Young Hunter 3'/3'3""",6,33501,11991,false,true
"55) $350 Young Hunter 3'/3'3""",55,"$350 Young Hunter 3'/3'3""",5,33502,11991,false,true
"56) $350 Young Hunter 3'/3'3""",56,"$350 Young Hunter 3'/3'3""",5,33503,11991,false,true
"57) $150 Young Hunter 3'/3'3"" U/S",57,"$150 Young Hunter 3'/3'3"" U/S",5,33504,11991,false,true
"80) $600 AO Hunter 3'6""",80,"$600 AO Hunter 3'6""",5,33516,12046,true,true
"81) $600 AO Hunter 3'6"" (1st rnd Classic)",81,"$600 AO Hunter 3'6"" (1st rnd Classic)",5,33517,12046,true,true
"82) $600 AO Hunter 3'6""",82,"$600 AO Hunter 3'6""",5,33518,12046,true,true
"83) $600 AO Hunter 3'6"" Handy",83,"$600 AO Hunter 3'6"" Handy",5,33519,12046,true,true
"84) $350 AO Hunter 3'6"" U/S",84,"$350 AO Hunter 3'6"" U/S",5,33520,12046,true,true
"90) $400 Amateur Owner Hunter 3'3"" 18-35",90,"$400 Amateur Owner Hunter 3'3"" 18-35",4,29340,10492,true,true
"91) $400 Amateur Owner Hunter 3'3"" 18-35 Years (1st rnd Classic",91,"$400 Amateur Owner Hunter 3'3"" 18-35 Years (1st rnd Classic",4,29341,10492,true,true
"92) $400 Amateur Owner Hunter 3'3"" 18-35",92,"$400 Amateur Owner Hunter 3'3"" 18-35",4,29342,10492,true,true
