Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Active,Core,Kicker,Display label,Style,Agg category,Field,Dimension,Calculation mode,Display type,Subset,Source key,Metric key,Sort order,Window max days
classes-count,classes-count,6a93283f3e79e76602c137c3,69d681f3e5bf7b084d8d85c2,6a9338e043434688a51141ac,false,false,Sat Aug 29 2026 19:54:07 GMT+0000 (Coordinated Universal Time),Sat Aug 29 2026 20:10:35 GMT+0000 (Coordinated Universal Time),Sat Aug 29 2026 20:10:35 GMT+0000 (Coordinated Universal Time),true,true,Classes,Classes,,,,core,count,number,false,classes_count,classes-count,10,
horses-count,horses-count,6a93283f3e79e76602c137c3,69d681f3e5bf7b084d8d85c2,6a9338e043434688a51141ae,false,false,Sat Aug 29 2026 19:54:07 GMT+0000 (Coordinated Universal Time),Sat Aug 29 2026 20:10:35 GMT+0000 (Coordinated Universal Time),Sat Aug 29 2026 20:10:35 GMT+0000 (Coordinated Universal Time),true,true,Horses,Horses,,,,core,distinct-count,number,false,horses_count,horses-count,20,
competitions-count,competitions-count,6a93283f3e79e76602c137c3,69d681f3e5bf7b084d8d85c2,6a9338e043434688a51141b0,false,false,Sat Aug 29 2026 19:54:07 GMT+0000 (Coordinated Universal Time),Sat Aug 29 2026 20:10:35 GMT+0000 (Coordinated Universal Time),Sat Aug 29 2026 20:10:35 GMT+0000 (Coordinated Universal Time),true,true,Competitions,Shows,,,,core,distinct-count,number,false,competitions_count,competitions-count,30,
years-count,years-count,6a93283f3e79e76602c137c3,69d681f3e5bf7b084d8d85c2,6a9338e043434688a51141b2,false,false,Sat Aug 29 2026 19:54:07 GMT+0000 (Coordinated Universal Time),Sat Aug 29 2026 20:10:35 GMT+0000 (Coordinated Universal Time),Sat Aug 29 2026 20:10:35 GMT+0000 (Coordinated Universal Time),true,true,Years,Years,,,,core,distinct-count,number,false,years_count,years-count,40,
wins-count,wins-count,6a93283f3e79e76602c137c3,69d681f3e5bf7b084d8d85c2,6a9338e043434688a51141b4,false,false,Sat Aug 29 2026 19:54:07 GMT+0000 (Coordinated Universal Time),Sat Aug 29 2026 20:10:35 GMT+0000 (Coordinated Universal Time),Sat Aug 29 2026 20:10:35 GMT+0000 (Coordinated Universal Time),true,false,Wins,Wins,,,,result,count,number,false,wins_count,wins-count,10,
second-count,second-count,6a93283f3e79e76602c137c3,69d681f3e5bf7b084d8d85c2,6a9338e043434688a51141b6,false,false,Sat Aug 29 2026 19:54:07 GMT+0000 (Coordinated Universal Time),Sat Aug 29 2026 20:10:35 GMT+0000 (Coordinated Universal Time),Sat Aug 29 2026 20:10:35 GMT+0000 (Coordinated Universal Time),true,false,Second,2nd,,,,result,count,number,false,second_count,second-count,20,
third-count,third-count,6a93283f3e79e76602c137c3,69d681f3e5bf7b084d8d85c2,6a9338e043434688a51141b8,false,false,Sat Aug 29 2026 19:54:07 GMT+0000 (Coordinated Universal Time),Sat Aug 29 2026 20:10:35 GMT+0000 (Coordinated Universal Time),Sat Aug 29 2026 20:10:35 GMT+0000 (Coordinated Universal Time),true,false,Third,3rd,,,,result,count,number,false,third_count,third-count,30,
top3-count,top3-count,6a93283f3e79e76602c137c3,69d681f3e5bf7b084d8d85c2,6a9338e043434688a51141ba,false,false,Sat Aug 29 2026 19:54:07 GMT+0000 (Coordinated Universal Time),Sat Aug 29 2026 20:10:35 GMT+0000 (Coordinated Universal Time),Sat Aug 29 2026 20:10:35 GMT+0000 (Coordinated Universal Time),true,false,Top3,Top 3,,,,result,count,number,false,top3_count,top3-count,40,
top8-count,top8-count,6a93283f3e79e76602c137c3,69d681f3e5bf7b084d8d85c2,6a9338e043434688a51141bc,false,false,Sat Aug 29 2026 19:54:07 GMT+0000 (Coordinated Universal Time),Sat Aug 29 2026 20:10:35 GMT+0000 (Coordinated Universal Time),Sat Aug 29 2026 20:10:35 GMT+0000 (Coordinated Universal Time),true,false,Top8,Top 8,,,,result,count,number,false,top8_count,top8-count,50,
outside-top8-count,outside-top8-count,6a93283f3e79e76602c137c3,69d681f3e5bf7b084d8d85c2,6a9338e043434688a51141be,false,false,Sat Aug 29 2026 19:54:07 GMT+0000 (Coordinated Universal Time),Sat Aug 29 2026 20:10:35 GMT+0000 (Coordinated Universal Time),Sat Aug 29 2026 20:10:35 GMT+0000 (Coordinated Universal Time),false,false,Internal,Outside Top 8,,,,result,count,number,false,outside_top8_count,outside-top8-count,60,
