field,type,field_id,status,group,populated,blank,unique,publisher_default,action,top_values
new_schedule_key,formula,fldvGIVNzxztIU1LQ,derived_display_or_filter,derived,58,0,58,no,derived from other fields; not independent truth,200023880-723 (1) | 200023881-763 (1)
class_number,number,fldqCQmpheiSzv85v,value_of_truth,class_number,58,0,58,yes,keep as canonical PRO field,723 (1) | 763 (1)
class_id,number,fldtRgws0T6PSbvFd,value_of_truth,class,51,7,51,yes,keep as canonical PRO field,200025174 (1) | 200025154 (1)
show_id,number,fldFuKv9v7X7XqqLw,value_of_truth,show,58,0,1,yes,keep as canonical PRO field,200000061 (58)
YYYYMMDD,formula,fldCNbDXCw4lPf6mw,derived_display_or_filter,derived,58,0,1,no,derived from other fields; not independent truth,20260510 (58)
scheduled_date,singleLineText,fldgYI2jdP2W3GcWP,inactive_duplicate_or_lookup,date,58,0,1,no,do not use as independent truth; compare to schedule_show_datev2,2026-05-10 (58)
app_show_idv2,number,fldOsppTThTFklwP0,value_of_truth,show_scope,58,0,1,yes,keep as canonical PRO field,200000061 (58)
app_sql_datev2,singleLineText,fldD4WY2MfodJKGge,value_of_truth,date_scope,58,0,1,yes,keep as canonical PRO field,2026-05-10 (58)
app_dow_rawv2,singleLineText,fldOZrk3Va3jZhL0c,value_of_truth,dow_scope,58,0,1,no,keep as canonical PRO field,Sun (58)
record_state,singleLineText,fld00VATolZrYddRf,operational_control,operation,58,0,1,no,runner/control/audit field,existing (58)
ringName,formula,fldP17wWtizmofz6U,value_of_truth,ring_name,58,0,5,yes,keep as canonical PRO field,Hunter 1 (20) | Hunter 2 (13)
classes_endpoint,formula,fldl0BJhh8JrwwxGX,source_evidence,evidence,51,7,51,no,source/lookup evidence only,https://broad-tooth-b8ed.gombcg.workers.dev/classes/200025174/?show_id=200000061&customer_id=15 (1) | https://broad-tooth-b8ed.gombcg.workers.dev/classes/200025154/?show_id=200000061&customer_id=15 (1)
inactive,checkbox,fldZ1u2LRttYI6vRq,operational_control,operation,3,55,1,no,runner/control/audit field,true (3)
show_date,singleLineText,fldd75bslCdZZdghT,inactive_duplicate_or_lookup,date,58,0,1,no,do not use as independent truth; compare to schedule_show_datev2,2026-05-10 (58)
class_groupxclasses_id,number,fldvFwyusNAzBpURC,value_of_truth,class_groupxclasses,58,0,58,yes,keep as canonical PRO field,200035732 (1) | 200035734 (1)
class_group_id,number,fld1cc1gxno1hTTNu,value_of_truth,class_group,58,0,43,yes,keep as canonical PRO field,200023881 (2) | 200023882 (2)
groups_live,multipleRecordLinks,fldytLC3prQSYPF3a,relationship_link,link,49,9,34,no,relationship field; not a scalar truth value,recEWk56AvqxFNCPq (2) | rectere6T7d1r18WH (2)
start_display,formula,fldz6ft8u7datsUEj,derived_calculator_output,calculator,58,0,37,no,derived/calculated value; use only for display or alerts,7:45 AM (4) | 3:00 PM (4)
class_group_sequence,number,fldqgrnmwyNukaE1C,value_of_truth,class_group_sequence,58,0,13,yes,keep as canonical PRO field,2 (6) | 4 (6)
group_name,singleLineText,fldzBoNvfhyHUPzie,value_of_truth,group_name,58,0,43,yes,keep as canonical PRO field,"$2,640 M&S 1.15m Junior & Amateur Jumper Classics II2b (2) | 1.10m Junior & Amateur Jumpers II2d (2)"
class_name,multilineText,fldr2LjgnNrPrPVmu,value_of_truth,class_name,58,0,49,yes,keep as canonical PRO field,Stirrup Equitation (2) | Cross Rail Equitation (2)
Count (watch_trips),count,fldqrfIgL402b0XR7,inactive_duplicate_or_lookup,total,58,0,5,no,do not use as independent truth; compare to total_trips,0 (43) | 2 (7)
watch_trips,multipleRecordLinks,fldROZUwR1k9F6LW7,relationship_link,link,15,43,15,no,relationship field; not a scalar truth value,rec82ypiIZNS9f4aq (1) | recGLPCE78dnOIe3A (1)
rider_name (from watch_trips),multipleLookupValues,fldFfKmMVqPr2bw0Z,source_evidence,lookup,15,43,12,no,lookup evidence only,CARSYN KOROTKIN|NAOMI SELLECK|LAINEY POSA|ZOEY BURTON (2) | KATE MARISCH|LAINEY POSA (2)
record_id_rollups,rollup,fldrT95HGDpYQkXuW,derived_display_or_filter,derived,15,43,15,no,rollup/display helper; not independent truth,rec82ypiIZNS9f4aq (1) | recGLPCE78dnOIe3A (1)
total_trips,number,fldXCJsgKvKCLJ70X,value_of_truth,total,51,7,23,yes,keep as canonical PRO field,25 (4) | 8 (4)
total_trips (from watch_trips),multipleLookupValues,fldMSWHf747dzQI1s,source_evidence,lookup,14,44,10,no,lookup evidence only,25 (3) | 15 (2)
estimated_end_time,singleLineText,fld9tmkqVzk2y4gdS,value_of_truth,end_time,0,58,0,yes,keep as canonical PRO field,
ring_number,number,fldnqXMJAS1McxTZO,value_of_truth,ring,58,0,5,yes,keep as canonical PRO field,5 (20) | 6 (13)
ww_rings,multipleRecordLinks,fldzfYXK8KZK8UcJo,relationship_link,link,58,0,5,no,relationship field; not a scalar truth value,recjmmvcrkUOOCKIN (20) | rec5r2BR7JaEci5ge (13)
ring_nickname,formula,fldkS2C9lNfqS69BP,value_of_truth,ring_display,58,0,5,no,keep as canonical PRO field,Hunter 1 (20) | Hunter 2 (13)
group_display,rollup,fldYkV4ZHIndBAlPK,derived_display_or_filter,derived,15,43,15,no,rollup/display helper; not independent truth,King (2) (1) | Choco (9) (1)
show_days_report_title,formula,fldrSfvfkSR43jusq,derived_display_or_filter,derived,58,0,1,no,derived from other fields; not independent truth,Schedule (58)
show_days_display_date,formula,fldkCer8IRbnKFQQg,derived_display_or_filter,derived,58,0,1,no,rollup/display helper; not independent truth,"Sunday, May, 10, 2026 (58)"
dt,formula,fldYyrGQtEhKPnTiZ,inactive_duplicate_or_lookup,date,0,58,0,yes,do not use as independent truth; compare to schedule_show_datev2,
sid,formula,fldIhkHBhD4bfb3IM,value_of_truth,identity,58,0,1,yes,keep as canonical PRO field,200000061 (58)
record_id,formula,fldXhGbViswrIus6r,derived_display_or_filter,derived,58,0,58,no,derived from other fields; not independent truth,rec4x2rSLXbPpwqCR (1) | recjVQhpNGpIphY0F (1)
status,singleLineText,fldNUOtoM7RvIeaAi,value_of_truth,status,51,7,2,yes,keep as canonical PRO field,Completed (48) | Upcoming (3)
class_status,multipleRecordLinks,fldnNslm5vmS7GVxL,relationship_link,link,51,7,2,no,relationship field; not a scalar truth value,reccMJ4aWWQqEY9dm (48) | rec1eTKTdrymeGC7v (3)
latest_ingested_at,singleLineText,fld7VVtd6mqzuNZT3,operational_control,operation,58,0,6,no,runner/control/audit field,2026-05-11T03:55:25.927Z (49) | 2026-05-11T03:45:22.474Z (4)
manual_time_override,checkbox,fldJbVKifKVRCkt1C,value_of_truth,manual_time_override,6,52,1,no,keep as canonical PRO field,true (6)
time-check,formula,fldDVmDyxWWUmcmvz,derived_display_or_filter,derived,58,0,37,no,derived from other fields; not independent truth,7:45 AM (4) | 3:00 PM (4)
estimated_start_time,singleLineText,fldRP7CIUhx9sj1dJ,value_of_truth,start_time,58,0,42,yes,keep as canonical PRO field,07:45:00 (3) | 09:05:00 (2)
schedule_sequencetype,singleLineText,fldXOpfxo0b0oi5n0,value_of_truth,sequence,58,0,2,yes,keep as canonical PRO field,Over Fences (51) | Under Saddle/Flat (7)
is_usf,formula,fldVfpHE2TfXQ5JNE,derived_display_or_filter,derived,7,51,1,no,derived from other fields; not independent truth,true (7)
group,rollup,fldjUizn4Ue2V904Z,derived_display_or_filter,derived,15,43,14,no,rollup/display helper; not independent truth,Knox|Poptart (2) | King (1)
