field,type,field_id,status,group,populated,blank,unique,publisher_default,action,top_values
new_trips_key,formula,fldgA2M2PehQ4puK1,value_of_truth,identity,28,0,28,no,keep as canonical PRO field,200023880-723-723-2807 (1) | 200023878-775-775-2299 (1)
run_id,singleLineText,fldnmvjbq19dp1di6,value_of_truth,run,28,0,1,no,keep as canonical PRO field,200000061-2026-05-09-1778382604 (28)
getLiveClassData,formula,fldeKIIcliIw4Zplj,source_evidence,evidence,26,2,13,no,source/lookup evidence only,https://sgl.wellingtoninternational.com/iphonev2/index.php/esp/liveclassv2/getLiveClassData?show_id=200000061&cid=200025034&cgid=200023887 (4) | https://sgl.wellingtoninternational.com/iphonev2/index.php/esp/liveclassv2/getLiveClassData?show_id=200000061&cid=200025045&cgid=200023888 (4)
class_id (from watch_schedule),multipleLookupValues,fld7FnZxLoICyvYH6,inactive_duplicate_or_lookup,class,26,2,13,no,do not use as independent truth; compare to class_id,200025034 (4) | 200025045 (4)
new_key,formula,fldDYxOukUHn6sdwe,value_of_truth,legacy_identity,28,0,28,no,keep as canonical PRO field,723-2807 (1) | 775-2299 (1)
entryxclasses_uuid,singleLineText,fld0GOCW20teKISUz,active_publisher_field,publisher,0,28,0,yes,keep until publisher contract is changed,
ring_number,number,fldS3wBbYUgxtzn8S,value_of_truth,ring,28,0,5,yes,keep as canonical PRO field,4 (11) | 1 (5)
ww_rings,multipleRecordLinks,fldUcAWE5QIVbvrXf,relationship_link,link,28,0,5,no,relationship field; not a scalar truth value,recJp6oDJkvllPgWl (11) | recJzmNob9FAFhVVs (5)
class_group_id,number,fldNDumIHyfBfvDjK,value_of_truth,class_group,28,0,14,no,keep as canonical PRO field,200023887 (4) | 200023888 (4)
class_group_sequence,number,fldzkBjnTKfiuR4Tu,value_of_truth,class_group_sequence,28,0,8,no,keep as canonical PRO field,2 (7) | 6 (6)
group_name,singleLineText,fldmneino3A9hUu5j,value_of_truth,group_name,28,0,14,yes,keep as canonical PRO field,ASPCA Maclay (4) | Dover Saddlery/USEF Hunter Seat Medal (4)
manual_time_override,checkbox,fldezS95sntXoF7nv,value_of_truth,manual_time_override,2,26,1,no,keep as canonical PRO field,true (2)
estimated_start_time,singleLineText,fldEqCIhNmv9b39zR,value_of_truth,start_time,28,0,14,yes,keep as canonical PRO field,09:40:00 (4) | 10:20:09 (4)
rs_order_of_go,number,fldzQ6XrqHMGdjvE4,value_of_truth,pro_order,25,3,18,yes,keep as canonical PRO field,2 (3) | 5 (3)
order_of_go,number,fldTEkedpq9sU0LTW,inactive_duplicate_or_lookup,pro_order,18,10,13,no,do not use as independent truth; compare to rs_order_of_go,2 (3) | 1 (3)
not_target_override,checkbox,fldMUAgCv1HB8Y4CH,blank_in_pro,blank,0,28,0,no,not populated in current PRO rows,
not_target,formula,fldd2USsuT1MFLrzg,derived_display_or_filter,derived,0,28,0,no,derived from other fields; not independent truth,
is_2nd_trip,formula,fldXodLGrDGJVz70G,derived_display_or_filter,derived,0,28,0,no,derived from other fields; not independent truth,
is_target,checkbox,fldPHmzfInTtrMySj,value_of_truth,target,28,0,1,no,keep as canonical PRO field,true (28)
time_sort,formula,fldXa1EMBKJSJI5zf,operational_control,operation,28,0,14,no,runner/control/audit field,34800 (4) | 37209 (4)
class_name,singleLineText,fldSq063ZaeifXKfr,value_of_truth,class_name,28,0,14,yes,keep as canonical PRO field,ASPCA Maclay (4) | Dover Saddlery/USEF Hunter Seat Medal (4)
horse,singleLineText,fldYCoDSssk2hYcOr,value_of_truth,horse_raw,28,0,18,yes,keep as canonical PRO field,JASON (4) | FENTO DES FONTAINES (3)
ww_horses,multipleRecordLinks,fldihQM3g2w97M4aR,relationship_link,link,28,0,18,no,relationship field; not a scalar truth value,recCTD8b6VIKV2XRy (4) | recCzp1svrHcNHrxu (3)
class_number,number,fldAmh1XTNHI6i1AW,value_of_truth,class_number,28,0,14,yes,keep as canonical PRO field,570 (4) | 550 (4)
schedule_sequencetype,singleLineText,fld0XvKX6liYvqd20,value_of_truth,sequence,28,0,2,no,keep as canonical PRO field,Over Fences (26) | Under Saddle/Flat (2)
new_schedule_key,formula,fldlxejcGEWw2XFei,value_of_truth,schedule_identity,28,0,14,no,keep as canonical PRO field,200023887-570 (4) | 200023888-550 (4)
watch_schedule,multipleRecordLinks,fldyJj6mCXBWSM7At,value_of_truth,schedule_link,28,0,14,no,keep as canonical PRO field,recwqlkuEYmrzPr2J (4) | recmPS6FLfg6R6uN8 (4)
entry_sequence,number,fldn9Fnqoujfe5u0P,value_of_truth,entry_sequence,28,0,2,no,keep as canonical PRO field,1 (26) | 5 (2)
class_alerts_8778,multipleRecordLinks,fldkBhFzYtJI7NStp,relationship_link,link,28,0,14,no,relationship field; not a scalar truth value,reckSeastXGcsGJW6 (4) | recxrMnvreSjQIIe0 (4)
sched_display,formula,fldixS19jF3repoWW,derived_display_or_filter,derived,28,0,27,no,derived from other fields; not independent truth,Jason (2) | King (2) (1)
estimated_start_time (from watch_schedule) 3,multipleLookupValues,fldhnXSpubAPwK0qD,inactive_duplicate_or_lookup,start_time,28,0,14,no,do not use as independent truth; compare to estimated_start_time,09:40:00 (4) | 10:20:09 (4)
rider_name,singleLineText,fld44HmVAyaRFxT0I,value_of_truth,rider,28,0,11,yes,keep as canonical PRO field,ZOEY BURTON (5) | LAINEY POSA (4)
class_type,singleLineText,fldEfHC4zNBYbmsa9,value_of_truth,class_type,28,0,3,yes,keep as canonical PRO field,Hunters (11) | Equitation (9)
pid,number,fldakySoyaKXiZiZk,value_of_truth,tenant,28,0,2,no,keep as canonical PRO field,8778 (23) | 19676 (5)
ww_tenants,multipleRecordLinks,fldz6Rj7pZIkdjYUf,relationship_link,link,28,0,2,no,relationship field; not a scalar truth value,recUKyrLUr0khLCjV (23) | recx4CSbIPHiFCPh6 (5)
active_tenants,multipleRecordLinks,fld0eaY9AZfDZWIo1,relationship_link,link,28,0,2,no,relationship field; not a scalar truth value,reclSR6N5rxD3omNH (23) | recYcVxdTPeBrfzLS (5)
ww_trainers,multipleRecordLinks,fldOhhIrqHC2kIAuF,relationship_link,link,28,0,2,no,relationship field; not a scalar truth value,recn5xdrIfLepzrnH (23) | recb1dC4UBauwym7T (5)
status,singleLineText,fldVuEtPTfNVwxvrs,value_of_truth,status,26,2,1,yes,keep as canonical PRO field,Completed (26)
class_status,multipleRecordLinks,fldHGD4MMLJmuCoR3,relationship_link,link,26,2,1,no,relationship field; not a scalar truth value,reccMJ4aWWQqEY9dm (26)
is_usf,formula,fldcqupNu5Ldpa62T,derived_display_or_filter,derived,2,26,1,no,derived from other fields; not independent truth,true (2)
rider_id,number,fldmf1xJdLkG7vMI1,blank_in_pro,blank,0,28,0,no,not populated in current PRO rows,
time_one,number,fldCjIIzH7PV6PGld,value_of_truth,time_one,0,28,0,no,keep as canonical PRO field,
placing,number,fld6ZX3pQudemc2K6,value_of_truth,placing,0,28,0,no,keep as canonical PRO field,
score1,number,fldeWk0yxNCk1snv7,blank_in_pro,blank,0,28,0,no,not populated in current PRO rows,
score,number,fldTQltdpwjHz69E3,value_of_truth,score,0,28,0,no,keep as canonical PRO field,
